,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,EM3417,Quản trị sản xuất (BTL),3(2-2-0-6),3,4,0.5
,EM3222,Luật kinh doanh,2(2-1-0-4),2,3,0.6
,EM3301,Đạo đức kinh doanh,2(2-1-0-4),2,3,0.5
,EM3511,Lý thuyết tài chính tiền tệ,2(2-1-0-4),2,3,0.5
,EM3519,Tài chính doanh nghiệp,3(3-1-0-6),3,4,0.5
,EM4542,Thuế và hệ thống thuế,2(2-1-0-4),2,3,0.5
,EM2713,Kế toán tài chính 1 (BTL),3(2-2-0-6),3,4,0.5
,EM2120,Kinh tế và quản lý công nghiệp,2(2-1-0-4),2,3,0.6
,EM3432,Quản trị chuỗi cung ứng,3(3-1-0-6),3,4,0.5
,EM4624,Kinh tế dầu khí,3(3-1-0-6),3,4,0.6
,EE3245,Thiết bị đóng cắt và bảo vệ,3(2-1-1-6),3,4.5,0.5
,HE2001,Nhập môn kỹ thuật nhiệt - lạnh,2(2-0-2-6),2,5,0.7
,HE4025,Kỹ thuật cháy,2(2-1-0-6),2,3,0.7
,MSE2023,Sự hình thành tổ chức tế vi vật liệu,3(3-0-1-6),3,4.5,0.6
,MSE3025,"Tính chất quang, điện, từ của vật liệu",3(3-0-1-6),3,4.5,0.7
,MSE3031,Các quá trình trong kỹ thuật vật liệu,3(2-2-0-6),3,4,0.7
,EV2225,Sinh thái học môi trường,2(2-1-0-4),2,3,0.6
,EV3118,Kỹ thuật xử lý nước thải,3(3-1-0-6),3,4,0.6
,EV3226,Quản lý chất thải rắn,3(3-0-1-6),3,4.5,0.7
,IT3943,Project III,3(0-0-6-12),3,6,0.5
