,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,EE3023,Thí nghiệm mạch điện,1(0-0-2-2),1,3,0.7
,EE3030,Lý thuyết trường điện từ,2(2-1-0.3-4),2,3.5,0.75
,EE3033,Lý thuyết trường điện từ,2(2-0-0-4),2,2,0.7
,EE3051,Mạch điện tử tương tự,2(2-1-0.5-4),2,4,0.75
,EE3052,Mạch điện tử tương tự,3(3-1-0.5-6),3,5,0.75
,EE3059,Cảm biến đo lường và xử lý tín hiệu đo,2(2-1-0-4),2,3,0.7
,EE3062,Cơ sở kỹ thuật đo,3(3-1-0-6),3,4,0.75
,EE3071,Kỹ thuật điện tử số,2(2-1-0.5-4),2,4,0.75
,EE3090,Điện tử tương tự và số,4(3-1-1-8),4,5.5,0.7
,EE3093,Thực hành mạch điện tử,1(0-0-3-2),1,4.5,0.7
,EE3099,Điện tử tương tự và số,4(4-2-0.5-8),4,7,0.75
,EE3109,Điện tử tương tự và điện tử số,2(2-1-0-4),2,3,0.75
,EE3110,Kỹ thuật đo lường,3(3-0-1-6),3,4.5,0.6
,EE3116,Kỹ thuật đo lường,3(3-0-0.5-6),3,4,0.7
,EE3129,Kỹ thuật đo và điều khiển,2(2-1-0.4-4),2,3.5,0.75
,EE3139,Hệ thống đồng hồ đo điện tử,2(2-1-0-4),2,3,0.75
,EE3141,Máy điện cơ sở,3(3-0-1-8),3,4.5,0.7
,EE3142,Máy điện I,2(2-1-0.4-4),2,3.5,0.7
,EE3161,Máy điện II,3(3-1-0.5-6),3,5,0.75
,EE3162,Máy điện II,2(2-1-0.4-4),2,3.5,0.75
