,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,CH4266,TN chuyên ngành,2(0-0-4-4),2,6,0.7
,CH4268,Đồ án môn học chuyên ngành,2(1-2-0-6),2,4,0.75
,CH4300,Hóa học chất rắn,3(3-1-0.5-6),3,5,0.75
,CH4301,Hóa học tính toán,2(2-1-0-4),2,3,0.7
,CH4302,"Nhiệt động thống kê, không CB",2(2-1-0-4),2,3,0.75
,CH4303,Chuyên đề 1 (Xúc tác phức và ứng dụng),2(2-1-0.5-4),2,4,0.75
,CH4304,Hóa lý các hiện tượng bề mặt,2(2-1-0.5-4),2,4,0.75
,CH4308,Kỹ thuật xúc tác,3(3-1-0.5-6),3,5,0.75
,CH4309,Kỹ thuật xử lý nước thải,2(2-1-0-4),2,3,0.75
,CH4310,Hóa học các hợp chất phức,2(2-1-0.5-4),2,4,0.75
,CH4312,Các phương pháp phân tích và tổng hợp hữu cơ,2(2-1-0.5-4),2,4,0.75
,CH4313,Hóa học vật liệu tiên tiến,2(2-1-0-4),2,3,0.5
,CH4314,Điện hóa lý thuyết,3(3-0-1-6),3,4.5,0.8
,CH4316,Thiết bị phản ứng,3(3-0-0-6),3,3,0.75
,CH4318,Đồ án chuyên ngành,2(1-1-1-4),2,4,0.75
,CH4320,Thực tập nhận thức,3(0-0-6-12),3,6,0.75
,CH4322,Thực tập kỹ thuật,2(0-0-4-8),2,4,0.75
,CH4362,Kỹ thuật hóa học đại cương,3(3-1-0-6),3,4,0.75
,CH4363,Lý thuyết tập hợp hạt,2(2-1-0-4),2,3,0.75
,CH4364,Ứng dụng tin học trong CNHH,3(3-1-1-6),3,5.5,0.75
