,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,ME4460,Trang thiết bị mặt đất,2(2-0-0-4),2,2,0.7
,ME4470,Máy bay trực thăng,2(2-1-0-4),2,3,0.7
,ME4480,Cơ sở thiết kế máy bay,2(2-0-0-4),2,2,0.6
,ME4510,Dao động tàu thuỷ,2(2-1-0-4),2,3,0.7
,ME4520,Lý thuyết tàu thuỷ,3(3-2-0-6),3,5,0.6
,ME4530,Thuỷ động lực học chuyên sâu (BTL),3(3-1-0-6),3,4,0.7
,ME4540,Cơ học kết cấu,2(2-1-0-4),2,3,0.7
,ME4550,Máy thuỷ khí cánh dẫn,2(2-1-0-4),2,3,0.7
,ME4560,Trang bị điện-điện tử tàu thuỷ,2(2-1-0-4),2,3,0.7
,ME4570,Hệ thống điều khiển tàu thuỷ,2(2-1-0-4),2,3,0.7
,ME4580,Lý thuyết tấm vỏ,2(2-0-0-4),2,2,0.7
,ME4590,Kết cấu tàu thuỷ,3(3-2-0-6),3,5,0.6
,ME4600,Trang bị động lực tàu thuỷ,3(3-1-0-6),3,4,0.7
,ME4610,Hệ thống thiết bị tầu thuỷ,1(1-1-0-2),1,2,0.7
,ME4620,Thiết kế tàu thuỷ,3(3-2-0-6),3,5,0.7
,ME4630,CAD/CAM và CNC,2(1-2-0-4),2,3,0.6
,ME4640,Chân vịt tàu thuỷ,2(2-0-0-4),2,2,0.7
,ME4650,Thiết kế xe chuyên dụng,2(2-0-0-4),2,2,0.7
,ME4660,Công nghệ đóng tàu thủy,3(3-1-0-6),3,4,0.6
,ME4670,Động lực học xe chuyên dụng,2(2-0-0-4),2,2,0.7
