,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,CH5257,Đồ án chuyên ngành kỹ sư Polyme,2(0-0-4-4),2,4,0.7
,CH5305,Đồ án chuyên ngành kỹ sư điện hóa,2(0-0-4-4),2,4,0.7
,CH5358,Đồ án chuyên ngành,2(0-0-4-4),2,4,0.7
,CH5403,Đồ án chuyên ngành kỹ sư CNVC,2(0-0-4-4),2,4,0.7
,CH5450,Hóa học chất rắn,3(3-0-0-6),3,3,0.7
,CH5454,Động hóa học và xúc tác,2(2-0-0-4),2,2,0.7
,CH5456,Hóa học chất keo,2(2-0-1-4),2,3.5,0.7
,CH5501,Đồ án 3,2(0-0-4-4),2,4,0.7
,CH5557,Hóa học phần ướt,2(2-1-0-4),2,3,0.7
,CH5609,Hóa học cây thuốc và kỹ thuật chiết xuất,2(2-0-0-4),2,2,0.7
,CH5654,Đồ án 3,3(0-0-6-6),3,6,0.7
,CH5704,Đồ án thiết kế xí nghiệp in,3(0-6-0-6),3,6,0.7
,CH5900,Đồ án tốt nghiệp kỹ sư,9(0-0-18-18),9,22.5,0.5
,CH5901,Đồ án tốt nghiệp kỹ sư,9(0-0-18-18),9,22.5,0.5
,CH5902,Đồ án tốt nghiệp kỹ sư,9(0-0-18-18),9,22.5,0.5
,CH5903,Đồ án tốt nghiệp kỹ sư,9(0-0-18-18),9,22.5,0.5
,CH5904,Đồ án tốt nghiệp kỹ sư,9(0-0-18-18),9,22.5,0.5
,CH5905,Đồ án tốt nghiệp kỹ sư,9(0-0-18-18),9,22.5,0.5
,CH5906,Đồ án tốt nghiệp kỹ sư,9(0-0-18-18),9,22.5,0.5
,CH5907,Đồ án tốt nghiệp kỹ sư,9(0-0-18-18),9,22.5,0.5
