,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,CH5560,Bảo vệ môi trường trong công nghiệp giấy,2(2-1-0-4),2,3,0.7
,EE4061,Bảo vệ và điều khiển HTĐ II,3(3-1-0-6),3,4,0.7
,MSE4371,"Biến tính, tinh luyện và khử khí cho hợp kim nhôm",2(2-0-1-4),2,3.5,0.7
,CH5655,Bơm – Quạt – Máy nén,2(2-1-0-4),2,3,0.7
,HE4411,Bơm nhiệt và ứng dụng của bơm nhiệt,2(2-0-0-4),2,2,0.7
,TE4490,Bơm quạt cánh dẫn II,2(2-0-1-4),2,3.5,0.7
,MI5040,Các mô hình ngẫu nhiên và ứng dụng,3(3-1-0-6),3,4,0.5
,EE5071,Các nguồn năng lượng tái tạo,2(2-0-0-4),2,2,0.7
,ME4213,Các phương pháp gia công phi truyền thống,2(2-1-0-4),2,3,0.7
,EV5125,Các quá trình xử lý nitơ và phốt pho trong nước thải,2(2-1-0-4),2,3,0.6
,TEX5021,Cấu trúc sợi,2(2-0-0-4),2,2,0.7
,HE4305,Cấu trúc và sức bền thiết bị tua bin,2(2-0-0-4),2,2,0.7
,TEX5041,Cấu trúc vải dệt kim,2(2-0-1-4),2,3.5,0.7
,TEX5031,Thiết kế vải dệt thoi,2(2-0-1-4),2,3.5,0.7
,TE5610,Chân vịt tàu thủy,2(2-1-0-4),2,3,0.7
,CH5401,Chất màu vô cơ công nghiệp,2(2-1-0-4),2,3,0.7
,EV5124,Chỉ thị và chỉ số chất lượng môi trường,2(2-0-0-4),2,2,0.7
,TEX5931,Thực tập kỹ sư,3(0-0-6-12),3,7.5,0.5
,TEX5941,Đồ án kỹ sư,9(0-18-0-36),9,22.5,0.5
,TEX5951,Thực tập kỹ sư,3(0-0-6-12),3,7.5,0.5
