,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,JP1131,Tiếng Nhật 3,4(0-8-0-8),4,8,0.7
,CH4490,Cơ sở kỹ thuật bào chế,2(2-1-0-4),2,3,0.75
,CH4491,CN sinh học trong hoá dựoc,2(2-0-0-4),2,2,0.75
,CH4492,Hoá dược & KT tổng hợp 1,3(3-1-0-6),3,4,0.75
,CH4493,Kỹ thuật gia công thuốc bảo vệ thực vật,2(2-0-0-4),2,2,0.75
,CH4494,KT tổng hợp các hợp chất bảo vệ thực vật,3(3-1-0-6),3,4,0.75
,CH4495,KT hoá học đại cương,3(3-1-1-6),3,5.5,0.75
,CH4496,Hoá dược & KT tổng hợp 2,3(3-1-0-6),3,4,0.75
,CH4498,Hoá dược & KT tổng hợp 3,2(2-1-0-4),2,3.5,0.75
,CH4500,Thí nghiệm chuyên ngành,2(0-0-6-4),2,6,0.75
,CH4502,Đồ án môn học chuyên ngành,2(1-2-0-4),2,4,0.75
,CH4504,Thực tập nhận thức,3(0-0-6-12),3,6,0.75
,CH4506,Thực tập kỹ thuật,2(0-0-4-8),2,4,0.75
,CH4600,Bơm quạt máy nén,2(2-1-0-4),2,3,0.75
,CH4602,Quá trình và thiết bị thuỷ cơ,4(4-1-1-8),4,6.5,0.75
,CH4604,Máy gia công vật liệu rắn,2(2-1-0-4),2,3,0.75
,CH4606,Máy gia công vật liệu dẻo,2(2-1-0-4),2,3,0.75
,CH4608,Cơ sở tính toán máy và thiết bị,4(4-2-0-8),4,6,0.7
,CH4610,Quá trình và thiết bị chuyển khối,4(4-1-0.5-8),4,6,0.75
,CH4612,Quá trình và thiết bị nhiệt lạnh,4(4-1-0.5-8),4,6,0.75
