,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,IT4260Q,An ninh mạng,2(2-1-0-4),2,3,0.7
,EV4141,Kỹ thuật xử lý nước thải,3(3-1-0-6),3,4,0.7
,BF5821,Thực tập tốt nghiệp KTSH,3(0-0-6-6),3,7.5,0.5
,FL1146,Reading,2(1-2-0-4),0,3,0.5
,FL1147,Writing,3(2-2-0-6),0,4,0.5
,ME4429,CAD/CAM/CNC,2(2-0-1-4),2,3.5,0.7
,ME4913,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
,IT3283,Kiến trúc máy tính,2(2-1-0-4),2,3,0.7
,TEX4014,Thiết kế sản phẩm da,2(2-0-0-4),2,2,0.6
,TEX4024,Thiết kế giày nâng cao,2(1-2-0-4),2,3,0.6
,TEX4034,Thực hành thiết kế sản phẩm da giầy,3(0-0-6-6),3,9,0.5
,TE3210E,Lý thuyết ô tô,3(3-1-0-6),3,4,0.6
,PH1120E,Vật lý đại cương II,3(2-1-1-6),3,4.5,0.7
,TEX4044,Cơ sở tạo mẫu sản phẩm da giầy,3(1-0-4-6),3,7,0.6
,TEX4054,Tin học ứng dụng trong thiết kế giầy,3(0-0-6-6),3,9,0.5
,TEX4064,Công nghệ cắt may sản phẩm da giầy,2(2-0-0-4),2,2,0.7
,TEX5152,Thiết kế trang phục đặc biệt,2(2-1-0-4),2,3,0.6
,TEX5925,Thực tập tốt nghiệp,3(0-0-9-6),3,7.5,0.5
,EM1170,Pháp luật đại cương,2(2-0-0-4),2,2,0.5
,ED4050,Lý luận dạy học chuyên ngành KT,2(2-0-0-4),2,2,0.7
