,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,PE1015,Thể dục tay không,0(0-2-0-2),0,1.5,1
,PE2261,Karatedo,0(0-2-0-2),0,1.5,1
,ME5411,Vật liệu và công nghệ gia công cao su,2(2-1-0-4),2,3,0.7
,ME5415,Ứng xử cơ học của vật liệu,2(2-1-0-4),2,3,0.7
,ME4217,Mô hình hóa quá trình hàn,2(2-1-0-4),2,3,0.7
,ME4225,Công nghệ hàn điện tiếp xúc,2(2-0-1-4),2,3.5,0.7
,ME4218,Thiết kế và chế tạo bình bồn áp lực,2(2-1-0-4),2,3,0.7
,ME5565,Đồ án thiết kế máy,3(0-0-6-6),3,6,0.7
,ME5315,Mô hình hóa và mô phòng số quá trình biến dạng,3(3-1-0-6),3,4,0.7
,MSE3126,Cơ học vật liệu,3(3-0-0-6),3,3,0.7
,MSE3427,Tổng hợp vật liệu,2(2-0-0-4),2,2,0.7
,MSE4175,Qúa trình đông đặc,2(2-0-0-4),2,2,0.7
,MSE3447,"Tính chất điện tử, quang và từ của vật liệu",3(2-2-0-6),3,4,0.7
,MSE4119,Vật liệu năng lượng sạch,2(2-0-0-4),2,2,0.7
,MSE4899E,Đồ án nghiên cứu,8(0-0-16-16),8,20,0.5
,EM4455E,Chuyên đề 2,4(0-0-8-12),4,12,0.5
,NE4441,Trí tuệ nhân tạo trong y tế,2(2-0-0-4),2,2,0.7
,NE4442,Vật liệu y sinh,2(2-0-0-4),2,2,0.7
,MIL1210,Đường lối quốc phòng và an ninh của Đảng Cộng sản Việt Nam,0(3-0-0-6),0,3,0.6
,MIL1220,Công tác quốc phòng và an ninh,0(2-0-0-4),0,2,0.6
