,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,CH4366,Mô hình điều khiển,2(2-1-0.5-4),2,4,0.7
,CH4367,Cơ sở kỹ thuật nano,2(2-1-0-4),2,3,0.7
,CH4370,Công nghệ màng,3(3-1-0-6),3,4,0.7
,CH4372,Kỹ thuật công trình,2(2-1-0.5-4),2,4,0.7
,CH4374,Kỹ thuật tách các hỗn hợp nhiều cấu tử,2(2-1-0-4),2,3,0.7
,CH4376,Kỹ thuật phản ứng,2(2-1-0-4),2,3,0.7
,CH4378,Kỹ thuật hệ thống,2(2-1-0-4),2,3,0.7
,CH4384,Thí nghiệm chuyên ngành,2(2-0-1-4),2,6,0.75
,CH4386,Thực tập nhận thức,3(0-0-6-12),3,6,0.75
,CH4388,Thực tập kỹ thuật,2(0-0-4-8),2,4,0.75
,CH4420,Hóa học gỗ,3(2-1-2-6),3,6,0.6
,CH4421,Hóa học và hóa lý polyme,2(2-0-1-4),2,3,0.7
,CH4422,Hóa học Xenluloza,3(2-1-2-6),3,6,0.6
,CH4424,Công nghệ sản xuất Xenluloza,3(2-1-2-6),3,6,0.6
,CH4425,Công nghệ In đại cương,2(2-0-0-4),2,2,0.75
,CH4426,Công nghệ tẩy trắng Xenluloza,3(2-1-2-6),3,6,0.6
,CH4427,Kỹ thuật sản xuất bao bì,2(2-1-0-4),2,3,0.75
,CH4428,Công nghệ chuẩn bị bột giấy,3(2-1-2-6),3,6,0.6
,CH4429,Hóa học phần ướt,2(2-1-0-4),2,3,0.75
,CH4430,Công nghệ sản xuất giấy,3(2-1-2-6),3,6,0.6
