,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,TE5880,Các hệ thống trên máy bay,3(3-1-0-6),3,4,0.7
,TE5890,Máy bay trực thăng,3(3-1-0-6),3,4,0.7
,TE5900,Kiểm tra và bảo dưỡng máy bay,3(3-0-1-6),3,4.5,0.7
,TE5910,Khai thác và quản lý máy bay,2(2-0-0-4),2,2,0.7
,TE5920,Luật hàng không,2(2-0-0-4),2,2,0.7
,TE5930,Đồ án môn học,3(0-3-0-6),3,6,0.7
,TE5940,Thực tập tốt nghiệp,4(0-0-4-0),4,10,0.7
,TE5950,Đồ án tốt nghiệp,10(0-0-10-20),10,25,0.5
,TEX4252,Tin học ứng dụng trong thiết kế sản phẩm may,3(0-0-6-6),3,9,0.6
,IT4042,Trí tuệ nhân tạo,2(2-0-0-4),2,2,0.7
,IT4442,Giao diện người dùng,2(2-0-0-4),2,2,0.7
,IT4362,Kỹ nghệ tri thức,2(2-0-0-4),2,2,0.7
,IT5021,Nghiên cứu tốt nghiệp 1,2(0-0-4-4),2,6,1
,ME4431,Hư hỏng và phá huỷ,1(1-1-0-2),1,2,0.7
,ME4331,Dao động I,1(1-1-0-2),1,2,0.7
,IT3210,C Programming Language,2(2-0-0-4),2,2,0.7
,MI1012,Math I,3(2-2-0-6),3,4,0.5
,MI1022,Math II,3(2-2-0-6),3,4,0.5
,PH1018,Physics I,4(4-0-0-8),4,4,0.7
,IT3220,C Programming (Introduction),2(0-4-0-4),2,4,0.7
