,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,ME4900,Truyền động thuỷ lực và khí nén,2(2-1-0-4),2,3,0.7
,ME4901,CAD/CAM,2(1-1-0-4),2,2,0.7
,ME4910,Động cơ đốt trong,2(2-1-0-4),2,3,0.7
,ME4940,Thủy lực,2(2-0-0.5-4),2,3,0.6
,ME4950,Hệ thống sản xuất linh hoạt,2(2-1-0-4),2,3,0.7
,ME4960,Động lực học biển,2(2-1-0-4),2,3,0.7
,ME4970,Ổn định và điều khiển tàu thuyền,2(2-1-0-4),2,3,0.7
,ME4980,CFD trong tính toán tàu thủy,2(2-1-0-4),2,3,0.7
,EE3216,Thiết kế và vận hành lưới điện,3(3-0-0-6),3,3,0.7
,EE3326,Phân tích các hệ tuyến tính,4(3-2-0.5-6),4,6,0.75
,EE3336,Điều khiển bằng phản hồi trạng thái,4(3-2-0.5-6),4,6,0.75
,EE3586,Mạch và năng lượng điện,4(3-2-0.5-6),4,6,1
,EE3596,Điện tử tương tự và ứng dụng,4(3-0-1-6),4,4.5,0.7
,EE3606,Tương tự học và các mô hình,4(3-2-0.5-6),4,6,1
,EE3616,Biến đổi tín hiệu số và ứng dụng,4(3-2-0-8),4,5,0.7
,EE3626,Cảm biến và thiết bị đo,2(2-0-0-4),2,2,0.7
,EE3636,Thí nghiệm điện tử,4(3-2-0.5-6),4,12,1
,EE4102,Lưới điện II,2(2-1-0-4),2,3,0.75
,EE4103,Đồ án lưới điện,1(1-1-0-4),1,2,1
,EE4104,Ngắn mạch trong hệ thống điện,3(3-2-0-6),3,5,0.7
