,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,ED4200,Quản lý cơ sở vật chất và trang thiết bị nhà trường,2(1-2-0-4),2,3,0.7
,ED4210,Marketing và truyền thông trong giáo dục số,2(2-1-0-4),2,3,0.7
,ED4220,Quản lý chất lượng giáo dục trực tuyến,2(1-2-0-4),2,3,0.7
,ED4230,Quản lý chiến lược giáo dục trong kỷ nguyên số,2(2-1-0-4),2,3,0.7
,ED4240,Chuyển đổi số trong quản lý giáo dục,2(2-1-0-4),2,3,0.7
,ED4250,Các công nghệ giáo dục tiên tiến,2(2-0-0-4),2,2,0.7
,ED4260,Đồ án về Chuyển đổi số trong giáo dục,2(0-0-4-4),2,4,0.7
,ED4280,Xếp hạng cơ sở giáo dục đại học,2(2-1-0-4),2,3,0.7
,ED4310,Thực tập tốt nghiệp,2(0-0-4-4),2,5,0.7
,ED4320,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
,ED2100,Tiếng Anh chuyên ngành quản lý giáo dục,2(2-0-0-4),2,2,0.7
,ED3490,Quản lý tài chính trong cơ sở giáo dục,2(2-1-0-4),2,3,0.7
,ED3510,Hệ thống thông tin quản lý trong giáo dục,2(2-1-0-4),2,3,0.7
,ED3530,Đạo đức nghề nghiệp và phát triển văn hoá nhà trường,2(2-1-0-4),2,3,0.7
,ED4270,Kiểm định chất lượng giáo dục,2(2-1-0-4),2,3,0.7
,ED4290,Đo lường và đánh giá trong giáo dục,2(2-1-0-4),2,3,0.7
,ED4300,Đồ án về Quản lý chất lượng giáo dục,2(0-0-4-4),2,4,0.7
,IT5431,Xây dựng Chatbot và các hệ thống hỏi đáp với AI tạo sinh,2(2-1-0-4),2,3,0.6
,IT5433,Phát triển phần mềm sử dụng các mô hình ngôn ngữ lớn,2(2-1-0-4),2,3,0.6
,IT5438,AI tạo sinh trong thương mại điện tử và marketing số,2(2-1-0-4),2,3,0.5
