,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,MSE3090,Vật lý chất rắn,2(2-1-0-4),2,3,0.75
,MSE3010,Vật liệu học I,2(2-1-0.5-4),2,4,0.75
,ME4920,Cơ học ứng dụng,2(2-1-0-4),2,3,0.7
,MSE3080,An toàn công nghiệp và kỹ thuật môi trường,2(2-0-0-4),2,2,0.75
,CH3123,Hóa vô cơ,2(2-1-0.5-4),2,4,0.75
,ME3250,Nguyên lý máy D,2(2-0-0-4),2,2,0.6
,ME4930,Công nghệ cơ khí,3(3-1-1-6),3,5.5,0.6
,MSE3230,Vật liệu thương phẩm,2(2-1-0.5-4),2,4,0.8
,FL4061,Lý thuyết dịch,2(2-0-0-4),2,2,0.5
,FL4062,Dịch nói I,3(2-0-2-6),3,5,0.6
,FL4071,Dịch viết I,3(2-2-0-6),3,4,0.5
,EE4490,Kỹ thuật lập trình,3(3-1-0-6),3,4,0.7
,EE4101,Lưới điện I,3(3-1-0.4-6),3,4.5,0.75
,ME4052,Nguyên lý và dụng cụ cắt,2(2-0-1-4),2,3.5,0.7
,IT4010,An toàn và bảo mật thông tin,3(3-1-0-6),3,4,0.7
,MI4010,Lý thuyết Otomat và ngôn ngữ hình thức,3(3-1-0-6),3,4,0.5
,MI4011,Xemina (Ia),2(2-1-0-4),2,3,0.5
,MI4012,Xemina (Ib),2(2-1-0-4),2,3,0.5
,FL142x,Ngoại ngữ sơ cấp II,3(3-1-0-6),3,4,0.7
,FL143x,Ngoại ngữ sơ cấp III,3(3-1-0-6),3,4,0.7
