,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,MI3313,Kỹ thuật lập trình,2(2-1-1-4),2,4.5,0.7
,MI3353,Lý thuyết xác suất,3(3-1-0-6),3,4,0.7
,MI2003,Nhập môn Toán-Tin,3(2-0-2-6),3,5,0.7
,MI4163,Lập trình tính toán,3(3-1-0-6),3,4,0.7
,PH4063,Nhập môn KH&CN Vật liệu,2(2-1-0-4),2,3,0.7
,PH4053,Laser và ứng dụng,2(2-1-0-4),2,3,0.7
,PH3293,Vật lý và công nghệ nano,2(2-1-0-4),2,3,0.7
,PH3291,Thực tập vật lý và công nghệ nano,2(0-0-4-8),2,4,0.7
,PH4033,Thực tập kỹ thuật,3(0-0-6-12),3,6,0.7
,PH3283,Vật lý siêu âm và ứng dụng,2(2-1-0.5-4),2,4,0.7
,PH4023,Kỹ thuật phân tích phổ,2(2-1-0.5-4),2,4,0.7
,PH4043,Vật lý và kỹ thuật màng mỏng,2(2-1-0.5-4),2,4,0.7
,JP1120,Tiếng Nhật 2,5(0-10-0-10),0,10,0.7
,ME3114,Phép tính ma trận trong cơ học kỹ thuật.,2(2-1-0-4),2,3,0.7
,ME2130,Nhập môn cơ học kỹ thuật,2(2-0-1-4),2,3.5,0.6
,TE3080,Kỹ thuật thuỷ khí,3(3-1-0-6),3,4,0.7
,MI4352,Xêmina II (Tin ứng dụng),3(2-2-0-6),3,4,0.5
,PH2075,Vật lý lượng tử,2(2-0-0-4),2,2,0.7
,ET5260,Định vị sử dụng vệ tinh,3(3-1-0-6),3,4,0.7
,ET5300,Hệ thống thông tin hàng không,2(2-1-0-4),2,3,0.7
