,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,MS5404,Quản trị dự án trong ngành công nghiệp in,2(2-1-0-4),2,3,0.7
,MS4422,Kiểm soát chất lượng sản phẩm in,2(2-1-0-4),2,3,0.7
,MS4423,TN kiểm soát chất lượng SP in,1(0-0-2-2),1,3,0.7
,MS4424,Thiết kế dây chuyền sản xuất trong nhà máy in,3(3-1-0-6),3,4,0.7
,MS4425,Kỹ thuật pha màu,2(2-1-0-4),2,3,0.7
,MS4426,TN pha màu,1(0-0-2-2),1,3,0.7
,MS5405,Kỹ thuật in trên vật liệu đặc biệt,2(2-1-0-4),2,3,0.7
,MS5407,Máy in offset và bảo dưỡng,3(3-0-1-6),3,4.5,0.7
,MSE4081,Công nghệ luyện kim phi cốc,2(2-0-0-4),2,2,0.7
,EM4002,Kiểm toán năng lượng II,2(0-0-2-4),2,3,0.5
,EM4048,Kiểm soát chất lượng II,2(0-0-2-4),2,3,0.5
,EM4300E,Phân tích dữ liệu lớn ứng dụng,3(0-0-3-6),3,4.5,0.5
,EM4400E,Quản trị mua sắm ứng dụng,2(0-0-2-4),2,3,0.5
,EE2012E,Kỹ thuật điện,2(2-1-0-4),2,3,0.7
,EE3359E,Lý thuyết điều khiển tự động,3(3-1-0-6),3,4,0.5
,ET2012E,Kỹ thuật điện tử,2(2-0-1-4),2,3.5,0.7
,HE2012E,Kỹ thuật nhiệt,2(2-1-0-4),2,3,0.7
,ME2101E,Sức bền vật liệu I,2(2-0-1-4),2,3.5,0.7
,ME2112E,Cơ học kỹ thuật 1,2(2-1-0-4),2,3,0.7
,ME2202E,Sức bền vật liệu II,2(2-0-1-4),2,3.5,0.7
