,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,NE3003,KT hạt nhân ứng dụng trong các lĩnh vực KT 2,2(2-0-0-4),2,2,0.7
,BF3181,Phân tích cảm quan thực phẩm,3(2-1-1-6),3,4.5,0.7
,BF3191,Phân tích cơ lý hóa thực phẩm,3(2-1-1-6),3,4.5,0.7
,BF3221,Ngoại ngữ chuyên ngành II,2(2-1-0-4),2,3,0.7
,TEX4233,Vật liệu may II,2(0-0-4-4),2,6,0.75
,CH2001,Nhập môn hóa học,3(2-1-1-6),3,4.5,0.7
,CH3005,Hoá lý,4(3-1-1-8),4,5.5,0.7
,CH3080,Hóa lý,3(2-1-2-6),3,6,0.7
,EE1010,Nhập môn kỹ thuật ngành điện,3(2-0-3-6),3,6.5,0.6
,EE2000,Tín hiệu và hệ thống,3(3-0-1-6),3,4.5,0.5
,EE2012,Kỹ thuật điện,2(2-1-0-4),2,3,0.7
,EE2014,Kỹ thuật điện,4(3-1-1-8),4,5.5,0.75
,EE2016,"Kỹ thuật điện, điện tử",3(3-1-0-6),3,4,0.75
,EE2020,Lý thuyết mạch điện I,4(3-1-1-8),4,5.5,0.7
,EE2030,Trường điện từ,2(2-0-1-4),2,3.5,0.7
,ET2000,Nhập môn kỹ thuật điện tử-viễn thông,2(2-0-1-4),2,3.5,0.7
,ET2020,Thực tập cơ bản,3(0-0-6-0),3,6,0.7
,EV2211,Nhập môn kỹ thuật môi trường,3(2-2-0-6),3,4,0.6
,EV2221,Các quá trình sản xuất cơ bản,2(2-1-0-4),2,3,0.7
,EE4xxx,Điều khiển PLC,2(2-0-1-4),2,3.5,0.7
