,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,MI3033,Xác suất thống kê,4(4-2-0-8),4,6,0.7
,MI3043,Giải tích số,4(4-2-0-8),4,6,0.7
,MI3053,Các phương pháp tối ưu,4(4-1-0-8),4,5,0.7
,MI3063,Cấu trúc dữ liệu và giải thuật,3(3-1-0-6),3,4,0.7
,MI3073,Phương trình đạo hàm riêng,4(4-1-0-8),4,5,0.5
,MI3083,Giải tích phức và ứng dụng,3(3-1-0-6),3,4,0.7
,MI3103,Hệ điều hành Unix (Linux),3(3-1-0-6),3,4,0.7
,MI3113,Kiến trúc máy tính và hợp ngữ,3(3-1-0-6),3,4,0.7
,MI3123,Phân tích và thiết kế hệ thống,3(3-1-0-6),3,4,0.7
,MI3133,Đại số hiện đại,2(2-1-0-4),2,3,0.7
,MI4013,Lý thuyết Otomat và ngôn ngữ hình thức,3(3-1-0-6),3,4,0.7
,MI4020,Phân tích số liệu,3(3-1-0-6),3,4,0.5
,MI4021,Xemina (IIa),2(2-1-0-4),2,3,0.5
,MI4022,Xemina (IIb),2(2-1-0-4),2,3,0.5
,MI4023,Phân tích số liệu,3(3-1-0-6),3,4,0.7
,MI4030,Mô hình toán kinh tế,3(3-1-0-6),3,4,0.5
,MI4031,Phương pháp phần tử hữu hạn,2(2-1-0-4),2,3,0.7
,MI4032,Mô hình tính toán song song,2(2-1-0-4),2,3,0.7
,MI4033,Mô hình toán kinh tế,3(3-1-0-6),3,4,0.7
,MI4040,Thực tập cơ sở,2.5(0-0-5-5),2.5,5,0.5
