,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,TEX4125,Tạo mẫu thời trang trên ma-nơ-canh,2(0-0-4-4),2,4,0.5
,TEX4016,Thiết kế sản phẩm sợi,2(2-1-0-4),2,3,0.6
,TEX4026,Thiết kế vải dệt thoi đơn giản,2(2-1-0-4),2,3,0.6
,MSE3407,Nhiệt động học vật liệu,3(3-0-0-6),3,3,0.7
,MSE4407,Vật liệu thông minh,2(2-0-0-4),2,2,0.7
,MSE4408,Vật liệu cấu trúc nano,2(2-0-0-4),2,2,0.7
,MSE4117,Thiết kế hợp kim kỹ thuật,2(2-0-0-4),2,2,0.7
,MSE4118,Vật liệu composite,2(2-0-0-4),2,2,0.7
,MSE4652,Vật liệu chức năng,2(2-0-0-4),2,2,0.7
,MSE4653,Mô phỏng cấp độ nguyên tử,2(2-0-0-4),2,2,0.7
,MSE4654,Thiết bị điện tử trạng thái rắn,2(2-0-0-4),2,2,0.7
,MSE4656,Công nghệ bề mặt và màng mỏng,2(2-0-0-4),2,2,0.7
,MSE4095E,Thực tập kỹ thuật,2(0-0-4-4),2,4,0.5
,MSE3207,Công nghệ vật liệu,3(3-0-0-6),3,3,0.7
,MSE3417,Hóa học vật liệu,2(2-0-0-4),2,2,0.7
,MSE4015,Gia công kim loại,2(2-0-0-4),2,2,0.7
,MSE4651E,Vật liệu vô định hình,2(2-1-0-4),2,3,0.7
,MSE3161E,Tính năng vật liệu trong các môi trường đặc biệt,2(2-0-0-4),2,2,0.7
,MSE4655,Gốm tiên tiến,2(2-0-0-4),2,2,0.7
,MSE4657,Công nghệ vật liệu y sinh nano,2(2-0-0-4),2,2,0.7
