,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,EM4215Q,Khởi sự kinh doanh,2(2-1-0-4),2,3,0.6
,EM4216Q,Phương pháp nghiên cứu trong kinh doanh,2(2-1-0-4),2,3,0.6
,EM4218Q,Hệ thống thông tin quản lý (E),3(3-1-0-6),3,4,0.6
,EM4219S,Hệ thống thông tin tổ chức, ,2,3,0.7
,EM1011F,Quản trị học đại cương,2(2-1-0-4),2,3,0.7
,IT4310Q,Cơ sở dữ liệu nâng cao,3(3-1-0-6),3,4,0.7
,IT4341Q,Hệ trợ giúp quyết định,2(2-1-0-4),2,3,0.7
,IT4361Q,Hệ cơ sở tri thức,2(2-1-0-4),2,3,0.7
,IT4380Q,Phân tích thiết kế hệ thống hướng đối tượng,3(3-1-0-6),3,4,0.7
,IT4440Q,Tương tác Người –Máy,3(3-1-0-6),3,4,0.7
,IT4442Q,Giao diện người dùng,2(2-1-0-6),2,3,0.7
,IT4460Q,Phân tích yêu cầu phần mềm,2(2-1-0-4),2,3,0.7
,IT4470Q,Đồ họa và hiện thực ảo,3(3-1-0-6),3,4,0.7
,IT4477Q,Đồ họa và hoạt họa 3D,3(3-1-0-6),3,4,0.7
,IT4481Q,Kỹ năng mềm trong CNTT&TT,3(2-1-1-4),3,4.5,0.7
,IT4490Q,Thiết kế và xây dựng phần mềm,3(3-1-0-6),3,4,0.7
,IT4501Q,Đảm bảo chất lượng phần mềm ,2(2-1-0-4),2,3,0.7
,IT4520Q,Kinh tế Công nghệ phần mềm,2(2-1-0-4),2,3,0.7
,IT4541Q,Quản lý dự án phần mềm,2(2-1-0-4),2,3,0.6
,IT4551Q,Đồ án môn học,3(1-2-2-4),3,6,0.7
