,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,TEX3102,Đồ án thiết kế,3(0-0-6-6),3,6,0.5
,TEX3112,Công nghệ gia công sản phẩm may,2(2-0-0-4),2,2,0.7
,TEX3122,Thiết kế trang phục,2(2-1-0-4),2,3,0.7
,TEX3132,Thiết kế mẫu sản xuất,2(0-0-4-4),2,6,0.7
,TEX4002,Thiết kế công nghệ quá trình sản xuất may,2(0-0-4-4),2,6,0.5
,TEX4262,Thực hành thiết kế trang phục,3(0-0-6-6),3,9,0.5
,TEX4272,Thiết kế sản phẩm may theo đơn hàng,2(0-0-4-4),2,6,0.5
,ME3050,Sức bền vật liệu II,2(2-0-1-4),2,3.5,0.7
,ME3189,Đồ án thiết kế tàu thủy,1(0-2-0-2),1,2,1
,EE3040,An toàn điện,1(1-1-0-2),1,2,0.7
,EE3183,Thực hành máy điện,1(0-0-3-2),1,3,0.7
,EE3291,Lý thuyết điều khiển tự động II,2(2-1-0.5-4),2,4,0.75
,ET3010,Toán kỹ thuật,2(2-1-0-4),2,3,0.7
,CH2004,Nhập môn Kỹ thuật in và truyền thông,3(3-1-0-6),3,4,0.7
,ET3160,Kỹ thuật phần mềm ứng dụng,3(3-2-0-6),3,5,0.7
,MI3070,Phương trình đạo hàm riêng,3(3-1-0-6),3,4,0.5
,PH3050,Lập trình ứng dụng,2(1-1-1-4),2,3.5,0.7
,PH3170,Tiếng Anh chuyên ngành Vật lý,2(2-0-0-4),2,2,0.7
,CH3003,Hóa lý (CN môi trường),3(3-1-1-6),3,5.5,0.75
,CH3200,Hóa hữu cơ 1 (KTHH),3(3-1-1-6),3,5.5,0.75
