,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,TEX4035,Lịch sử trang phục,2(1-2-0-4),2,3,0.6
,TEX4045,Phát triển ý tưởng thời trang,3(0-0-6-6),3,9,0.6
,TEX4055,Thiết kế thời trang theo chuyên đề,2(1-2-0-4),2,4,0.6
,TEX4065,Tin học ứng dụng trong thiết kế thời trang,2(0-0-4-4),2,6,0.6
,TEX4075,Lịch sử thiết kế mỹ thuật,2(2-1-0-4),2,3,0.6
,TEX4085,Trình diễn thời trang,2(1-2-0-4),2,3,0.6
,TEX4095,Thương hiệu thời trang,2(1-2-0-4),2,3,0.6
,TEX4105,Tâm lý và hành vi khách hàng thời trang,2(1-2-0-4),2,3,0.7
,TEX4115,Kỹ thuật trang trí sản phẩm thời trang,2(1-2-0-4),2,3,0.6
,TEX5005,Đồ họa quảng cáo thời trang,2(1-2-0-4),2,3,0.6
,TEX5015,Dự báo xu hướng thời trang,2(1-2-0-4),2,3,0.6
,TEX5025,Tạo mẫu thời trang mang phong cách dân tộc,3(1-4-0-6),3,5,0.6
,TEX5035,Tạo mẫu thời trang 3D,2(0-0-4-4),2,6,0.6
,TEX5045,Thiết kế bộ sưu tập thời trang công nghiệp,2(2-1-0-4),2,3,0.6
,TEX5055,Đồ án thiết kế thời trang công nghiệp,3(0-0-6-6),3,9,0.5
,TEX5065,Tạo mẫu phụ trang,2(1-2-0-4),2,3,0.6
,TEX5075,Thiết kế phụ trang,2(0-0-4-4),2,6,0.6
,TEX5095,Phong cách thời trang,2(1-2-0-4),2,3,0.6
,ED3220E,Kỹ năng mềm,2(1-2-0-2),2,3,0.7
,IT3362,Kỹ năng ITSS học bằng tiếng Nhật 1,2(0-4-0-4),2,4,0.5
