,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,MSE4281,Ứng dụng tin học trong luyện kim màu,2(0-2-2-4),2,5,0.7
,MSE4283,Tái sinh kim loại màu & hợp kim,2(2-0-1-4),2,3.5,0.7
,MSE4291,Các phương pháp phân tích kim loại,2(2-0-0-4),2,2,0.7
,MSE4321,Kỹ thuật nấu luyện hợp kim đúc,3(2-1-1-6),3,4.5,0.7
,MSE4411,Thiết bị cán thép hình,3(2-2-0-6),3,4,0.7
,MSE4421,Công nghệ cán ống,3(3-0-0-6),3,3,0.7
,MSE4422,Công nghệ cán tấm,3(3-0-1-6),3,4.5,0.7
,MSE4451,Thiết kế xưởng cán,2(2-0-0-6),2,2,0.7
,MSE4461,Tự động hóa quá trình cán hình,3(3-0-0-6),3,3,0.7
,TEX3150,Vật liệu dệt may,3(3-1-0-6),3,4,0.6
,TEX4503,Khoa học màu sắc,2(2-0-1-4),2,3.5,0.6
,TEX4502,Công nghệ gia công sản phẩm may,3(2-2-0-6),3,4,0.6
,TEX4611,Công nghệ dệt thoi II,2(2-1-0-4),2,3,0.7
,TEX4621,Công nghệ kéo sợi xơ dài,2(2-1-0-4),2,3,0.7
,TEX4631,Thiết kế dây chuyền sợi dệt,2(2-1-0-4),2,3,0.7
,TEX4641,Cấu trúc sợi,2(2-1-0-4),2,3,0.7
,TEX4512,Ứng dụng công nghệ thông tin trong công nghiệp may,3(0-0-6-6),3,6,0.5
,TEX4523,Phân tích thành phần hoá học vật liệu dệt may,2(2-0-1-4),2,3.5,0.6
,TEX4513,Công nghệ và thiết bị hoàn tất sản phẩm dệt may,2(2-0-0-4),2,2,0.7
,TEX4455,Hình họa thời trang,2(1-2-0-4),2,3,0.6
