,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,MI2054,Hàm biến phức và đại số ma trận,2(2-1-0-4),2,3,0.5
,MI3060,Cấu trúc dữ liệu và giải thuật,3(3-1-0-6),3,4,0.5
,MI3080,Giải tích phức và ứng dụng,3(3-1-0-6),3,4,0.5
,MI3090,Cơ sở dữ liệu,3(3-1-0-6),3,4,0.5
,MI3100,Hệ điều hành Unix (Linux),3(3-1-0-6),3,4,0.7
,MI3110,Kiến trúc máy tính và hợp ngữ,3(3-1-0-6),3,4,0.7
,MI3120,Phân tích và thiết kế hệ thống,3(2-2-0-6),3,4,0.5
,MI1037,Toán đại cương III,2(2-0-0-4),2,2,0.7
,MI1137,Bài tập toán đại cương III,1(0-2-0-4),1,2,0.7
,PH1014,Vật lý I,4(3-2-1-8),4,6.5,0.5
,PH1016,Vật lý đại cương I,4(2-2-1-8),4,5.5,0.6
,PH1024,Vật lý II,4(3-2-1-8),4,6.5,0.5
,PH1026,Vật lý đại cương II,4(3-2-1-8),4,6.5,0.6
,PH3010,Phương pháp toán cho vật lý,3(2-2-0-6),3,4,0.7
,PH3020,Cơ giải tích,2(2-0-0-4),2,2,0.7
,PH3030,Trường điện từ,3(3-0-0-6),3,3,0.7
,PH3040,Kỹ thuật xung và số,2(2-1-0-4),2,3,0.7
,PH3060,Cơ học lượng tử,3(3-0-0-6),3,3,0.7
,PH3070,Kỹ thuật chân không,2(2-0-0-4),2,2,0.7
,PH3080,Cảm biến và kỹ thuật đo lường,3(3-0-0-6),3,3,0.7
