,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,BF4270,Hệ thống chất lượng TP ISO/HACCP,2(2-1-0-4),2,3,0.7
,BF4410,CN Enzym,3(2-1-1-6),3,4.5,0.7
,BF4420,Tin sinh học,2(1-1-0-4),2,2,0.6
,BF4430,Kỹ thuật gen vi sinh vật,3(2-1-1-6),3,4.5,0.6
,BF4440,Công nghệ lên men công nghiệp,3(2-1-1-6),3,4.5,0.7
,BF4450,Quản lý chất lượng trong CN sinh học,2(2-1-0-4),2,3,0.7
,BF4460,CN sinh học môi trường,2(2-1-0-4),2,3,0.8
,BF4480,Đồ án chuyên ngành,2(0-3-0-6),2,4,0.8
,BF4510,CN sinh học thực vật,3(2-1-1-6),3,4.5,0.8
,BF4530,CN protein,3(2-1-1-6),3,4.5,0.7
,BF4540,CN sản xuất các axit và dung môi hữu cơ,2(2-1-0-4),2,3,0.8
,BF4550,CN lên men các hợp chất kháng sinh,2(2-1-0-4),2,3,0.7
,BF4590,CN axit amin,2(2-1-0-4),2,3,0.8
,BF4610,Công nghệ tế bào động vật,2(2-1-0-4),2,3,0.8
,BF4620,CN vacxin,2(2-1-0-4),2,3,0.6
,BF4630,CN chế phẩm sinh học bảo vệ thực vật,2(2-0-1-4),2,3.5,0.8
,BF4640,CN phân bón vi sinh,2(2-1-0-4),2,3,0.7
,BF4660,Kỹ thuật sinh học xử lý nước thải,3(2-1-1-6),3,4.5,0.7
,BF4670,Độc tố học,2(2-1-0-4),2,3,0.8
,BF4680,Kỹ thuật sinh học xử lý chất thải rắn,2(2-1-0-4),2,3,0.8
