,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,MIL1013,Quân sự chung,0(3-0-1-6),0,1,0.7
,FL1410,Ngoại ngữ 2-I,3(2-2-0-6),3,4,0.7
,FL1413,Tiếng Nga III,2(2-1-0-4),2,3,0.7
,FL1414,Tiếng Nga IV,2(2-1-0-4),2,3,0.7
,FL1415,Tiếng Nga V,3(2-2-0-6),3,4,0.7
,FL3421,Tiếng Pháp AUF 5,4(4-2-0-8),4,6,0.7
,FL3422,Tiếng Pháp AUF 6,4(4-2-0-8),4,6,0.7
,ET2071,Bài tập cơ sở truyền tin,1(0-1-0-2),1,1,1
,FL3423,Tiếng Pháp AUF 7,4(4-2-0-8),4,6,0.7
,FL3424,Tiếng Pháp AUF 8,4(4-2-0-8),4,6,0.7
,FL3425,Tiếng Pháp AUF 9,4(4-2-0-8),4,6,0.7
,FL1402,Tiếng Pháp KSCLC 2,3(3-2-0-6),3,5,0.6
,FL1403,Tiếng Pháp KSCLC 3,6(6-4-0-12),6,10,0.7
,FL1404,Tiếng Pháp KSCLC 4,3(3-1-0-6),3,4,0.6
,FL1406,Tiếng Pháp KSCLC 6,3(3-1-0-6),3,4,0.6
,FL1407,Tiếng Pháp KSCLC 7,2(2-1-0-4),2,3,0.6
,FL1408,Tiếng Pháp KSCLC 8,2(2-1-0-4),2,3,0.6
,FL1409,Tiếng Pháp I,3(3-2-0-6),3,5,0.7
,SSH1110,Những NLCB của CNML I,2(2-1-0-4),2,3,0.5
,SSH1130,Đường lối CM của ĐCSVN,3(2-1-0-6),3,3,0.5
