,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,EE4430E,Mô hình hóa và mô phỏng hệ thống điều khiển,3(3-0-0-6),3,3,0.5
,EE4364E,DCS & SCADA,2(2-1-0-4),2,3,0.7
,CH4193,Thí nghiệm cơ sở chuyên ngành,2(0-0-4-4),2,6,0.6
,MSE3530,Đồ án thiết kế xưởng nhiệt luyện,2(1-2-0-4),2,3,0.7
,MSE4011,"Vật liệu kỹ thuật, lựa chọn và sử dụng",3(2-2-0-6),3,4,0.7
,MSE4095,Thực tập kỹ thuật,2(0-0-4-4),2,4,0.7
,MSE4099,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
,MSE4121,Luyện thép hợp kim,2(2-0-1-4),2,3.5,0.7
,MSE4131,Công nghệ đúc phôi thép,2(2-0-1-4),2,3.5,0.7
,MSE4161,Đồ án công nghệ gang thép,2(0-2-0-4),2,4,0.7
,MSE4171,"Công nghệ luyện thép lò điện, lò thổi",2(2-0-1-4),2,3.5,0.7
,MSE4172,Chuyên đề luyện Gang thép,2(2-0-1-4),2,3.5,0.7
,MSE4191,Ứng dụng tin học trong công nghệ gang thép,2(2-0-0-4),2,2,0.7
,MSE4221,Vật liệu Compozit,3(3-0-0-6),3,3,0.7
,MSE4231,Luyện kim loại màu nhẹ,3(3-0-1-6),3,4.5,0.7
,MSE4232,Luyện kim bột và compozit,3(3-0-1-6),3,4.5,0.7
,MSE4241,Động học các phản ứng luyện kim,2(2-0-0-4),2,2,0.7
,MSE4252,Đồ án thiết kế và tổng hợp vật liệu bằng phương pháp luyện kim bột,2(1-2-0-4),2,3,0.7
,MSE4271,Vật liệu kỹ thuật điện,2(2-0-1-4),2,3.5,0.7
,MSE4272,Luyện kim loại quý hiếm,2(2-0-0-4),2,2,0.7
