,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,FL4024,TA CN thông tin và TT II,4(3-1-0-8),4,4,0.5
,FL4030,Dịch nói II TA Cơ khí và KH VL,3(2-0-2-6),3,5,0.5
,FL4031,Dịch viết II TA CK và KHVL,3(2-2-0-6),3,4,0.5
,FL4034,TA Cơ khí và vật liệu II,4(3-1-0-8),4,4,0.5
,FL4040,Dịch nói II TA KT và KD,3(2-0-2-6),3,5,0.5
,FL4041,Dịch viết II TA KT và KD,3(2-2-0-6),3,4,0.5
,FL4044,TA Kinh tế và Kinh doanh II,4(3-1-0-8),4,4,0.5
,FL4050,Dịch nói II TA Hóa Môi trường,3(2-0-2-6),3,5,0.5
,HE3001,Đồ án hệ thống cung cấp nhiệt,2(0-0-4-4),2,4,0.7
,EV4113,Phục hồi ô nhiễm đất,2(2-1-0-4),2,3,0.6
,EV3227,Mô hình hóa môi trường,2(2-1-0-4),2,3,0.6
,HE3017,Hệ thống cung cấp nhiệt,3(2-1-1-6),3,4.5,0.7
,IT2130,Tín hiệu và hệ thống,2(2-1-0-4),2,3,0.7
,IT3061,Quá trình ngẫu nhiên ứng dụng,2(2-1-0-4),2,3,0.7
,IT3430,Kỹ thuật điện tử tương tự và số,3(3-1-0-6),3,4,0.7
,IT3910,Project I,3(0-0-6-12),3,6,0.7
,IT3920,Project II,3(0-0-6-12),3,6,0.7
,IT3930,Project II,2(0-0-4-8),2,4,0.5
,IT4371,Các hệ phân tán,2(2-1-0-4),2,3,0.7
,IT4409,Công nghệ Web và dịch vụ trực tuyến,3(2-2-0-6),3,4,0.6
