,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,EE4121,Đo lường cao áp và kiểm tra không phá huỷ,2(2-0-0-4),2,2,0.75
,EE4204,Máy điện trong thiết bị tự động và điều khiển,3(3-1-0-6),3,4,0.75
,EE4208,Thiết bị lập trình điều khiển thiết bị điện,2(2-1-0.3-4),2,3.5,0.75
,EE4310,Trang bị điện-điện tử các máy công nghiệp,3(3-0-0-6),3,3,0.75
,EE4311,Trang bị điện-điện tử các máy gia công kim loại,3(3-1-0-6),3,4,0.75
,EE4408,Đồ án thiết kế hệ thống điều khiển tự động,1(1-1-0-4),1,2,1
,EE4519,Mạng nơron và ứng dụng trong xử lý tín hiệu,2(2-0-0-4),2,2,0.8
,EE4523,Nhiễu điện từ và các phương pháp chống nhiễu,2(2-0-0-4),2,2,0.75
,ET4550,An toàn bức xạ và an toàn điện trong y tế,2(2-1-0-4),2,3,0.7
,MI4051,Một số phương pháp toán học trong tài chính,2(2-1-0-4),2,3,0.7
,MI4052,Cơ sở dữ liệu phân tán - Lập trình với cơ sở dữ liệu ORACLE,2(2-1-0-4),2,3,0.7
,MI4100,Mật mã và độ phức tạp thuật toán,3(3-1-0-6),3,4,0.5
,MSE4419,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
,BF2701E,Nhập môn Kỹ thuật Sinh học,3(3-0-0-6),3,3,0.7
,PH4310,Các phương pháp tính toán trong Kỹ thuật hạt nhân,2(2-1-0-4),2,3,0.7
,PH4400,Kỹ thuật ghép nối & ứng dụng trong đo lường điều khiển,2(2-0-1-4),2,3.5,0.7
,PH4420,Chuyên đề phương pháp thực nghiệm vật lý,3(3-0-2-4),3,6,0.7
,PH4490,Kỹ thuật xử lý ảnh và ứng dụng trong kỹ thuật,2(2-0-1-4),2,3.5,0.7
,PH4510,Mạng nơron và ứng dụng trong Vật lý kỹ thuật,2(1-1-1-4),2,3.5,0.7
,PH4540,Kỹ thuật tính toán số trong Vật lý kỹ thuật,3(2-1-1-6),3,4.5,0.7
