,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,CH3800,Xây dựng công nghiệp,2(2-1-0-4),2,3,0.5
,CH1014,Hoá học đại cương,4(4-1-1-8),4,6.5,0.5
,CH1016,Hoá học đại cương,4(3-2-1-8),4,6.5,0.5
,IT3010,Cấu trúc dữ liệu và giải thuật,3(3-1-0-6),3,4,0.7
,IT3020,Toán rời rạc,3(3-1-0-6),3,4,0.5
,IT3030,Kiến trúc máy tính,3(3-1-0-6),3,4,0.7
,IT3040,Kỹ thuật lập trình,2(2-0-1-4),2,3.5,0.6
,IT3060,Toán chuyên đề,2(2-0-0-4),2,2,0.7
,IT3070,Nguyên lý hệ điều hành,3(3-1-0-6),3,4,0.6
,IT3080,Mạng máy tính,3(3-0-1-6),3,4.5,0.5
,IT3090,Cơ sở dữ liệu,3(2-1-1-6),3,4.5,0.5
,IT3100,Lập trình hướng đối tượng,2(2-1-0-4),2,3,0.7
,IT3110,Linux và phần mềm nguồn mở,2(2-1-0-4),2,3,0.7
,IT3120,Phân tích và thiết kế hệ thống,2(2-1-0-4),2,3,0.6
,IT3130,Điện tử số,3(3-1-0.5-6),3,5,0.6
,IT3140,Điện tử ứng dụng,3(3-1-0.5-6),3,5,0.6
,IT3900,Thực tập cơ sở,3(0-0-6-12),3,6,0.5
,FL1423,Tiếng Pháp III,2(2-1-0-4),2,3,0.6
,FL1424,Tiếng Pháp IV,2(2-1-0-4),2,3,0.6
,FL1425,Tiếng Pháp V,3(2-2-0-6),3,4,0.7
