,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,ME5918,Công nghệ Hàn-Cắt laser và plasma,2(2-0-1-4),2,3.5,0.7
,HE5161,Công nghệ xử lý phát thải khói,2(2-1-0-4),2,3,0.7
,BF3706E,Kỹ thuật gen,2(2-0-1-4),2,3.5,0.7
,BF3707E,Tin sinh học,2(1-2-0-4),2,3,0.6
,BF3708E,Phương pháp phân tích trong CNSH,2(2-0-1-4),2,3.5,0.6
,BF3709E,Quá trình và thiết bị,3(2-2-0-6),3,4,0.7
,BF3710E,Quá trình và thiết bị CNSH,2(2-1-0-4),2,3.5,0.7
,BF3711E,Vật liệu sinh học,2(2-1-0-4),2,3,0.7
,BF4705E,Kỹ thuật lên men,3(2-2-0-6),3,4,0.7
,BF4711E,Vi sinh vật II - Y Dược,2(2-0-0-4),2,2,0.7
,BF4712E,Các hoạt chất có hoạt tính sinh học,2(2-1-0-4),2,3,0.7
,BF4726E,Quản lý chất lượng trong CNSH,2(2-0-0-4),2,2,0.7
,BF4605E,Kỹ thuật chẩn đoán phân tử,3(2-1-0.5-6),3,3.5,0.6
,BF4713E,Công nghệ tế bào động vật,3(2-2-0-6),3,4,0.7
,BF4728E,Vaccin,3(2-2-0-6),3,4,0.7
,BF4729E,Dược phẩm sinh học,3(2-2-0-6),3,4,0.7
,BF4727E,Đồ án chuyên ngành KTSH,2(0-4-0-4),2,4,0.5
,BF4717E,Thí nghiệm chuyên ngành I,2(0-0-4-4),2,4,0.6
,ME3021,Cơ học kỹ thuật II,2(2-1-0-4),2,3,0.7
,ME4338,Đồ án thiết kế hệ thống Cơ ĐT 2,3(0-0-6-6),3,6,0.7
