,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,ET4230,Mạng máy tính,3(3-0-1-6),3,4.5,0.7
,ET4240,Phân tích và thiết kế hướng đối tượng,3(3-2-0-6),3,5,0.7
,ET4250,Hệ thống viễn thông,3(3-1-0-6),3,4,0.7
,ET4260,Đa phương tiện,2(2-0-1-4),2,3.5,0.7
,ET4280,Kỹ thuật mạng nâng cao,2(2-1-0-4),2,3,0.7
,ET4290,Hệ điều hành,2(2-1-0-4),2,3,0.7
,ET4300,Đa phương tiện nâng cao,2(2-1-0-4),2,3,0.7
,ET4310,Thông tin quang,3(3-0-1-6),3,4.5,0.7
,ET4320,Kỹ thuật siêu cao tần - antenna,3(3-1-0.5-6),3,5,0.7
,ET4330,Thông tin di động,2(2-1-0-4),2,3,0.7
,ET4340,Thiết kế VLSI,3(3-1-0-6),3,4,0.7
,ET4350,Điện tử công nghiệp,2(2-1-0-4),2,3,0.7
,ET4360,Thiết kế hệ nhúng,2(2-1-0-4),2,3,0.7
,ET4370,Kỹ thuật truyền hình,2(2-0-1-4),2,3.5,0.7
,ET4380,Thông tin vệ tinh,2(2-1-0-4),2,3,0.7
,ET4390,Định vị và dẫn đường,2(2-1-0.5-4),2,4,0.7
,ET4400,Đo lường tự động,2(2-1-0-4),2,3,0.7
,ET4410,Tổ chức và quy hoạch mạng viễn thông,2(2-1-0-4),2,3,0.7
,ET4420,Điện tử y sinh,2(2-1-0.5-4),2,4,0.7
,ET4430,Lập trình nâng cao,2(2-1-0-4),2,3,0.7
