,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,MSE4730,Chuyên đề: vật liệu tiên tiến,2(1-2-0-4),2,3,0.7
,MSE4740,Chuyên đề: công nghệ bề mặt tiên tiến,1(1-1-0-4),1,2,0.7
,MSE4750,Vật liệu kim loại xốp,2(2-1-0-4),2,3,0.7
,MSE4760,Khoa học bề mặt và ứng dụng,2(2-0-0-4),2,2,0.7
,MSE4770,Công nghệ vật liệu bột,2(2-1-0-4),2,3,0.7
,MSE4780,Anốt hoá hợp kim nhôm,2(2-0-0.5-4),2,3,0.7
,MSE4790,Thực tập kỹ thuật,2(0-0-4-10),2,4,0.7
,MSE4800,Lý thuyết cán,3(3-1-0.5-4),3,5,0.7
,MSE4810,Vật liệu kỹ thuật,2(2-0-0-4),2,2,0.7
,MSE4820,Thiết bị cán,3(3-1-0.5-6),3,5,0.7
,MSE4830,Đại cương gia công áp lực,2(2-1-0-4),2,3,0.7
,MSE4840,Đồ án thiết bị,1(1-1-0-8),1,2,0.7
,MSE4850,Đồ án môn học công nghệ cán,1(1-1-0-8),1,2,0.7
,MSE4880,Mô phỏng số quá trình biến dạng,2(2-1-0-4),2,3,0.7
,MSE4990,Thực tập kỹ thuật,2(0-0-4-10),2,4,0.7
,MSE5011,Thực tập tốt nghiệp,4(0-0-8-16),4,10,0.7
,MSE5012,Thực tập tốt nghiệp,4(0-0-8-16),4,10,0.7
,MSE5013,Thực tập tốt nghiệp,4(0-0-8-16),4,10,0.7
,MSE5014,Thực tập tốt nghiệp,4(0-0-8-16),4,10,0.7
,MSE5015,Thực tập tốt nghiệp,4(0-0-8-16),4,10,0.7
