,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,FL1310,Dẫn luận ngôn ngữ,2(2-1-0-4),2,3,0.6
,FL3023,Kỹ năng nghe tiếng Anh III,3(2-2-0-6),3,4,0.6
,FL3013,Kỹ năng nói tiếng Anh III,3(2-2-0-6),3,4,0.5
,FL3033,Kỹ năng đọc tiếng Anh III,3(2-2-0-6),3,4,0.6
,FL3043,Kỹ năng viết tiếng Anh III,3(3-1-0-6),3,4,0.5
,FL1411,Tiếng Nga I,3(2-2-0-6),3,4,0.7
,FL1421,Tiếng Pháp I,3(2-2-0-6),3,4,0.6
,FL1431,Tiếng Nhật I,3(2-2-0-6),3,4,0.6
,FL3024,Kỹ năng nghe tiếng Anh IV,3(2-2-0-6),3,4,0.65
,FL3014,Kỹ năng nói tiếng Anh IV,3(3-1-0-6),3,4,0.5
,FL3034,Kỹ năng đọc tiếng Anh IV,3(2-2-0-6),3,4,0.65
,FL3044,Kỹ năng viết tiếng Anh IV,3(3-1-0-6),3,4,0.5
,FL3250,Văn hóa xã hội Anh,2(2-1-0-4),2,3,0.6
,FL1412,Tiếng Nga II,3(2-2-0-6),3,4,0.7
,FL1422,Tiếng Pháp II,3(2-2-0-6),3,4,0.6
,FL1432,Tiếng Nhật II,3(2-2-0-6),3,4,0.6
,MI1013,Giải tích I,4(3-2-0-8),4,5,0.7
,MI1033,Đại số,4(3-2-0-8),4,5,0.7
,FL1426,Tiếng Pháp AUF1,3(3-2-4-12),3,11,0.7
,FL1427,Tiếng Pháp AUF2,3(3-1-5-12),3,11.5,0.7
