,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,EE3569,Trang bị điện máy sản xuất,2(2-1-0-4),2,3,0.75
,EE3570,Thực tập nhận thức,1(0-0-2-2),1,2,1
,EE3573,Đồ án nhận thức thực tế,1(0-0-3-2),1,2,1
,EE3580,Thực tập xưởng điện,2(0-0-4-4),2,4,1
,ET3000,Lập trình,3(3-1-1-6),3,5.5,0.7
,ET3030,Lý thuyết mạch,4(4-1-1-8),4,6.5,0.7
,ET3050,Lý thuyết thông tin,3(3-1-0.5-6),3,5,0.7
,ET3060,Điện tử số,3(3-1-1-6),3,5.5,0.7
,ET3070,Cấu kiện điện tử,3(3-1-1-6),3,5.5,0.7
,ET3080,Xử lý số tín hiệu,3(3-1-0.5-6),3,5,0.7
,ET3090,Điện tử tương tự I,3(3-1-1-6),3,5.5,0.7
,ET30xx,Lập trình,4(3-1-1-8),4,5.5,0.7
,ET3110,Kỹ thuật vi xử lý,4(4-1-1-8),4,6.5,0.5
,ET3130,Thông tin số,3(3-1-0.5-6),3,5,0.7
,ET3140,Điện tử tương tự II,3(3-1-1-6),3,5.5,0.7
,ET3150,Cơ sở đo lường điện tử,3(3-1-0.5-6),3,5,0.7
,ET3170,Đồ án thiết kế I,2(1-1-1-4),2,4,1
,ET3180,Thông tin vô tuyến,3(3-0-1-6),3,4.5,0.7
,ET3200,Cơ sở mạng thông tin,2(2-1-0-4),2,3,0.7
,ET3550,Thực tập cơ bản,3(0-0-9-0),3,6,1
