,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,HE5004,Mô phỏng CFD các thiết bị và quá trình nhiệt công nghiệp,2(2-1-0-6),2,3,0.7
,HE5410,Thông gió công nghiệp và lọc không khí,2(2-1-0-4),2,3,0.7
,HE5208,Kỹ thuật ĐHKK nâng cao,3(3-1-0-6),3,4,0.7
,HE5303,Đồ án thiết kế hệ thống điều hòa không khí II,3(0-0-6-6),3,6,0.5
,HE5017,Mạng nhiệt,2(2-0-0-4),2,2,0.7
,HE5403,Lập trình công nghiệp trong hệ thống nhiệt - lạnh,2(2-1-0-4),2,3,0.5
,HE5305,Đồ án điều khiển quá trình và thiết bị năng lượng,3(0-0-6-6),3,6,0.5
,HE4406,Hệ thống lạnh công nghiệp,2(2-1-0-4),2,3,0.7
,HE5304,Đồ án thiết bị trao đổi nhiệt,3(0-0-6-6),3,6,0.5
,HE5405,Công nghệ lạnh thực phẩm,2(2-1-0-4),2,3,0.7
,EM4409E,Quản trị mua sắm,3(2-2-0-6),3,4,0.5
,FL1808,Tiếng Pháp chuyên ngành,3(3-1-0-6),3,4,0.6
,EV4399,Đồ án nghiên cứu Cử nhân,8(0-0-16-32),8,20,0.5
,ED3430,Hội nhập và thích ứng nghề nghiệp,3(2-2-0-6),3,4,0.7
,ED3440,Quản lý nhà nước về giáo dục,3(3-1-0-6),3,4,0.7
,ED3450,Kinh tế học giáo dục,3(3-1-0-6),3,4,0.7
,ED3460,Những vấn đề cơ bản về quản lý chất lượng giáo dục,2(2-1-0-4),2,3,0.7
,ED2080,Quản lý hoạt động dạy và học,3(2-2-0-6),3,4,0.7
,ED3470,Những vấn đề cơ bản về đo lường và đánh giá trong giáo dục,2(2-1-0-4),2,3,0.7
,ED3480,Kế toán trong giáo dục,2(2-1-0-4),2,3,0.7
