,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,SSH3010,Kinh tế chính trị (nâng cao),2(2-1-0-4),2,3,0.7
,ED3010,Giáo dục học,2(2-1-0-4),2,3,0.7
,ED3020,Lý luận dạy học đại cương,2(2-1-0-4),2,3,0.7
,ED3030,Tâm lý học đại cương,2(2-0-0-4),2,2,0.7
,ED3040,Tâm lý học chuyên ngành,2(2-1-0-4),2,3,0.7
,ED3050,Công nghệ dạy học,2(2-1-0-4),2,3,0.7
,ED3070,Nhập môn KHCN,2(2-0-0-4),2,2,0.7
,ED3090,Giáo dục học và Lý luận dạy học,2(1-1-0-4),2,2,0.7
,ED4010,Sư phạm chuyên ngành Kỹ thuật Điện,2(1-1-0-4),2,2,0.7
,ED4020,Sư phạm chuyên ngành Kỹ thuật Điện tử,2(1-1-0-4),2,2,0.7
,ED4030,Sư phạm chuyên ngành Kỹ thuật Cơ khí,2(1-1-0-4),2,2,0.7
,ED4040,Sư phạm chuyên ngành Tin học,2(1-1-0-4),2,2,0.7
,PE2011,Bóng đá I,0(0-2-0-2),0,1.5,1
,PE2012,Bóng chuyền I,0(0-2-0-2),0,1.5,1
,PE2013,Bóng rổ I,0(0-2-0-2),0,1.5,1
,PE2014,Bóng ném I,0(0-2-0-2),0,1.5,1
,PE2015,Aerobic I,0(0-2-0-2),0,1.5,1
,PE2016,Cầu lông I,0(0-2-0-2),0,1.5,1
,PE2017,Bóng bàn I,0(0-2-0-2),0,1.5,1
,PE2018,Giáo dục thể chất E6,0(0-2-0-2),0,1.5,1
