,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,ET3551,Thực tập xưởng vô tuyến,1(0-0-3-0),1,2,1
,CH3310,Hóa phân tích 2 (TN),2(0-0-6-6),2,6,0.7
,CH3311,Hóa phân tích 2 (máy v à thiết bị hoá chất),1(0-0-3-3),1,3,0.7
,CH3312,Hóa phân tích 2 (CN nhuộm),1(0-0-3-3),1,3,0.7
,CH3313,Hóa phân tích 2 (CN Môi trường),1(0-0-3-3),1,3,0.7
,CH3320,Phương pháp phân tích bằng công cụ,3(2-0-2-6),3,5,0.7
,CH3321,Phân tích bằng công cụ,3(2-1-2-4),3,6,0.7
,CH3400,Quá trình và thiết bị CNHH I,3(3-1-0-6),3,4,0.7
,CH3401,Quá trình và thiết bị CNHH,3(3-1-0-6),3,5.5,0.7
,CH3410,Quá trình và thiết bị CNHH 2,3(3-1-1-6),3,5.5,0.7
,CH3420,Quá trình và thiết bị CNHH III,3(3-1-0-6),3,4,0.7
,CH3430,Quá trình và thiết bị CNHH 4,3(3-1-1-6),3,5.5,0.7
,CH3440,Đồ án quá trình và thiết bị,2(0-0-4-4),2,4,0.7
,CH3450,Ứng dụng tin học trong CNHH,3(3-1-1-6),3,5.5,0.7
,CH3460,Mô hình điều khiển trong CNHH,2(2-1-0.5-4),2,4,0.7
,CH3470,Kỹ thuật hóa học đại cương,3(3-1-0-6),3,4,0.7
,CH3600,Nhập môn KT In & TT,4(3-1-1-8),4,5.5,0.75
,CH3610,Lý thuyết mầu,3(2-2-0-6),3,4,0.75
,CH3620,Lý thuyết phục chế hình ảnh,3(3-1-0-6),3,4,0.75
,CH3630,Vật liệu ngành in,3(2-2-0-6),3,4,0.75
