,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,HE4064,Đồ án điều hòa không khí,1(1-0-0-2),1,2,0.75
,HE4073,Lò điện,2(2-1-0-4),2,3,0.8
,HE4081,"Bơm, quạt, máy nén",2(2-1-0-4),2,3,0.7
,HE4082,Nhà máy điện nguyên tử,2(2-0-0-4),2,2,0.8
,HE4083,Đồ án lò công nghiệp,1(1-0-0-2),1,2,0.75
,HE4091,Kỹ thuật xử lý phát thải,2(2-1-0-4),2,3,0.8
,HE4092,Thiết kế hệ thống điều khiển,2(2-1-0-4),2,3,0.8
,HE4093,Đồ án kỹ thuật sấy,1(1-0-0-2),1,2,0.75
,HE4094,CĐ máy & thiết bị nhiệt lạnh,2(2-1-0-4),2,3,0.8
,HE4101,Tiếng anh chuyên ngành kỹ thuật nhiệt -lạnh,2(2-1-0-4),2,3,0.8
,HE4102,Tối ưu hoá chế độ vận hành NMĐ,2(2-1-0-4),2,3,0.7
,HE4113,Kỹ thuật xử lý phát thải,2(2-0-0-4),2,2,0.8
,HE4114,NL mặt trời & NL thứ cấp,3(3-1-0-6),3,4,0.8
,HE4121,Chuyên đề Kỹ thuật năng lượng,2(2-1-0-4),2,3,0.6
,HE4122,Mạng hệ thống nhiệt,2(2-1-0-4),2,3,0.8
,HE4123,Tiếng Anh CN máy & thiết bị lạnh,3(3-1-0-6),3,4,0.8
,HE4132,Đồ án thiết kế mạng nhiệt,1(1-0-0-2),1,2,0.75
,HE4133,Mô hình hóa quá trình nhiệt,3(3-1-0-6),3,4,0.8
,HE4134,Cơ sở kỹ thuật lạnh,3(2-1-1-6),3,4.5,0.7
,HE4143,Lò nung,2(2-1-0-4),2,3,0.7
