,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,ME3191,Sức bền vật liệu,3(3-1-0-6),3,4,0.7
,MI2000,Nhập môn Toán-Tin,3(3-0-0-6),3,3,0.5
,MI3310,Kỹ thuật lập trình,2(2-0-1-4),2,3.5,0.5
,MI3320,Các phương pháp tối ưu I,3(3-1-0-6),3,4,0.7
,MI3350,Lý thuyết xác suất,3(3-1-0-6),3,4,0.5
,MI4090,Lập trình hướng đối tượng,3(2-2-0-6),3,4,0.5
,MSE2021,Nhiệt động học,3(2-2-0-6),3,4,0.7
,MSE2022,Hóa học chất rắn,3(3-0-0-6),3,3,0.7
,MSE2031,Cấu trúc vật liệu,3(2-2-0-6),3,4,0.7
,MSE2041,Công nghệ vật liệu kim loại,3(3-0-0-6),3,3,0.7
,MSE2051,Cơ học vật liệu,3(2-2-0-4),3,4,0.7
,MSE3011,Vật liệu học đại cương,2(2-1-0-4),2,3,0.7
,MSE4415,CN và thiết bị cán kéo,2(2-1-0-4),2,3,0.7
,NE2000,Nhập môn KT Hạt nhân và VLMT,3(2-0-2-6),3,5,0.7
,NE2010,Vật lý hiện đại,2(2-0-0-4),2,2,0.7
,PH2021,Đồ án môn học I,3(0-0-6-6),3,6,0.7
,PH3011,Phương pháp tính toán cho vật lý,3(3-0-0-6),3,3,0.7
,PH3071,Kỹ thuật chân không,2(2-0-1-4),2,3.5,0.7
,TE2811,Vật liệu hàng không,3(3-1-0-6),3,4,0.7
,TEX2000,Nhập môn KT Dệt may,3(2-0-2-6),3,5,0.6
