,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,MSE3021,Khuếch tán và chuyển pha,3(2-1-1-6),3,4.5,0.7
,MSE3400,Ứng xử cơ nhiệt của vật liệu,3(2-2-0-6),3,4,0.7
,MSE3041,Công nghệ vật liệu kim loại,3(2-0-2-4),3,5,0.7
,ME5011,Thực tập tốt nghiệp,3(0-0-6-6),3,7.5,0.5
,ME5012,Thực tập tốt nghiệp,3(0-0-6-6),3,7.5,0.5
,IT3402,Hệ thống thông tin trên Web,2(2-0-0-4),2,2,0.7
,IT4552,Thực hành Lập trình Web,2(0-0-4-4),2,6,0.7
,IT4062,Thực hành Lập trình mạng,2(0-4-0-4),2,4,0.5
,IT4272,Hệ thống máy tính,2(2-0-0-4),2,2,0.7
,IT4492,Lập trình cấu trúc,2(2-0-0-4),2,2,0.7
,IT4312,Mô hình hóa dữ liệu,2(2-0-0-4),2,2,0.5
,EE4123E,Bảo vệ hệ thống điện,4(3-1-1-8),4,5.5,0.7
,EE4118E,Điều khiển và vận hành hệ thống điện,3(3-1-0-6),3,4,0.7
,EE4114E,Kỹ thuật điện cao áp và vật liệu điện,3(3-1-0-6),3,4,0.7
,EE3160,Phần điện nhà máy điện và trạm biến áp,3(3-0-1-6),3,4.5,0.7
,IT4940,Project 3,3(0-0-6-12),3,6,0.7
,EV1250,Nhập môn quản lý tài nguyên và môi trường,3(2-2-0-6),3,4,0.7
,IT3011Q,Cấu trúc dữ liệu và thuật toán,2(2-1-0-4),2,3,0.6
,EM3231E,Thống kê ứng dụng và thiết kế lấy mẫu,3(3-1-0-6),3,4,0.5
,MIL1240Q,Kỹ thuật chiến đấu bộ binh và chiến thuật,0(0-0-4-8),0,4,0.6
