,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,PH4470,Thực tập kỹ thuật,3(0-0-6-12),3,6,0.5
,PH4480,Vi điều khiển,2(2-0-1-4),2,3.5,0.7
,PH4500,Phương pháp nguyên lý ban đầu,3(2-1-1-6),3,4.5,0.7
,PH4520,Chuyên đề khoa học vật liệu,3(3-0-2-4),3,6,0.7
,PH4530,CAD and CAM,3(3-0-2-6),3,6,0.7
,PH4601,Cơ sở kỹ thuật ánh sáng I,2(2-1-0.5-4),2,4,0.7
,PH4602,Cơ sở kỹ thuật ánh sáng II,2(2-1-0.5-4),2,4,0.7
,PH4620,Thực tập kỹ thuật,3(0-0-6-12),3,6,0.5
,PH4630,Dụng cụ quang,2(2-0-0-4),2,2,0.7
,PH4650,Kỹ thuật đo lường ánh sáng,3(2-1-1-6),3,4.5,0.7
,PH4660,Vật lý laser,2(2-0-0-4),2,2,0.7
,PH4670,Thiết kế hệ thống chiếu sáng,3(2-1-1-6),3,4.5,0.7
,PH4680,Hệ thống điện cho chiếu sáng,2(2-0-0-4),2,2,0.7
,PH4690,Kỹ thuật hiển thị hình ảnh,2(2-0-0-4),2,2,0.7
,PH4700,Đo lường học lượng tử,2(1-1-0.5-4),2,3,0.7
,PH4720,Quy hoạch thực nghiệm,3(3-1-0-4),3,4,0.7
,PH5010,Thực tập tốt nghiệp,4(0-0-8-16),4,10,0.5
,PH5020,Thực tập tốt nghiệp,4(0-0-8-16),4,10,0.5
,PH5030,Thực tập tốt nghiệp,4(0-0-8-16),4,10,0.5
,PH5040,Thực tập tốt nghiệp,4(0-0-8-16),4,10,0.5
