,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,TEX5191,Kiểm soát chất lượng trong nhà máy sợi,2(2-1-0-4),2,3,0.7
,TEX5201,Thực hành sợi 2,2(0-0-4-4),2,6,0.5
,TEX5211,Đồ án công nghệ sợi,3(0-0-6-6),3,6,0.5
,TEX5231,Tin học ứng dụng trong công nghệ sợi,2(2-1-0-4),2,3,0.7
,JP1111,Tiếng Nhật 1,4(0-8-0-8),0,8,0.6
,JP1121,Tiếng Nhật 2,4(0-8-0-8),0,8,0.6
,JP1134,Tiếng Nhật 3,4(0-8-0-8),0,8,0.6
,JP2113,Tiếng Nhật 4,4(0-8-0-8),0,8,0.6
,EE4560,Công nghệ chế tạo thiết bị điện công nghiệp,2(2-1-0-4),2,3,0.5
,EE4561,Thiết kế máy điện công nghiệp,2(2-1-0-4),2,3,0.5
,EE4562,Thiết kế thiết bị đóng cắt và bảo vệ,2(2-1-0-4),2,3,0.5
,EE4563,Thiết kế thiết bị điều khiển máy điện,2(2-1-0-4),2,3,0.5
,EE4064,Đồ án thiết kế,3(0-0-6-6),3,6,0.5
,EE4564,Máy điện nâng cao,2(2-1-0-4),2,3,0.5
,EE4565,Thiết bị đóng cắt hiện đại,2(2-1-0-4),2,3,0.5
,EE4461,Tích hợp các nguồn năng lượng mới,2(2-1-0-4),2,3,0.7
,EE4128,Tối ưu hoá chế độ hệ thống điện,2(2-1-0-4),2,3,0.7
,EE4018,Tự động hoá HTĐ,3(3-1-0-6),3,4,0.7
,EE4460,Thị trường điện,2(2-1-0-4),2,3,0.7
,EE4314,Quy hoạch phát triển hệ thống điện,2(2-1-0-4),2,3,0.7
