,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,ET3290,Đồ án thiết kế I,2(0-0-4-4),2,4,1
,ET4020,Xử lý tín hiệu số,3(3-0-1-6),3,4.5,0.7
,EV3111,Chuyển khối trong CNMT,3(2-1-1-6),3,4.5,0.7
,EV3112,Kỹ thuật phản ứng,3(3-0-0-6),3,3,0.7
,EV3113,Hóa học môi trường,3(3-0-1-6),3,4.5,0.7
,EV3114,Hóa sinh môi trường,3(3-0-1-6),3,4.5,0.7
,EV3115,Vi sinh môi trường,3(3-0-1-6),3,4.5,0.7
,EV3121,Độc học môi trường,2(2-0-1-4),2,3.5,0.6
,EV3122,Đồ án I,2(0-0-4-4),2,4,0.7
,EV3123,Kỹ thuật kiểm soát ô nhiễm không khí,4(3-1-1-8),4,5.5,0.7
,EV3211,Sinh thái học môi trường,2(2-1-0-4),2,3,0.7
,EV3221,Phân tích chất lượng môi trường,3(2-0-2-6),3,5,0.7
,EV3222,Bảo vệ đa dạng sinh học,2(2-0-0-4),2,2,0.7
,FL3052,Tiếng Anh CN Thông tin và Truyền thông I,3(2-2-0-6),3,4,0.5
,FL3053,Tiếng Anh Cơ khí và Vật liệu I,3(2-2-0-6),3,4,0.5
,FL4010,Dịch nói II TA KT Điện-Điện tử,3(2-0-2-6),3,5,0.5
,FL4011,Dịch viết II TA KT Điện-điện tử,3(2-2-0-6),3,4,0.5
,FL4014,TA KT điện-điện tử II,4(3-1-0-8),4,4,0.5
,FL4020,Dịch nói II TA CNTT và TT,3(2-0-2-6),3,5,0.5
,FL4021,Dịch viết II TA CNTT và TT,3(2-2-0-6),3,4,0.5
