,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,IT5390,Web ngữ nghĩa,3(3-1-0-6),3,4,0.6
,IT5409,Thị giác máy tính,3(3-1-0-6),3,4,0.6
,TE4542,Đồ án thiết kế Máy thể tích,3(0-6-0-6),3,6,0.5
,TE4552,Đồ án thiết kế Máy cánh dẫn,3(0-6-0-6),3,6,0.5
,TE5626,Sức cản phương tiện thủy,2(2-1-0-4),2,3,0.7
,TE5651,Ứng dụng tin học trong phân tích và thiết kế kết cấu,2(2-1-0-4),2,3,0.7
,TE4729,Chuyên đề nghiên cứu,3(2-2-0-4),3,4,0.7
,TE5624,Hệ thống điều khiển thông minh cho phương tiện thủy,2(2-1-0-4),2,3,0.7
,TE4716,Hệ thống động lực phương tiện thủy,3(3-1-0-6),3,4,0.7
,TE5718,Thiết kế phương tiện thủy thông dụng,2(2-1-0-4),2,3,0.7
,TE4740,Đồ án thiết kế,3(0-6-0-6),3,6,0.5
,TE4712,Sức bền phương tiện thủy,2(2-1-0-4),2,3,0.7
,TE5627,Thiết kế phương tiện thủy nâng cao,2(2-1-0-4),2,3,0.7
,TE5622,Phương tiện thủy không người lái: lý thuyết và ứng dụng,2(2-1-0-4),2,3,0.7
,TE5752,Kỹ thuật mô phỏng số trong Cơ khí động lực,3(3-1-0-6),3,4,0.7
,TE5730,Thủy động lực học phương tiện thủy,3(3-1-0-6),3,4,0.7
,TE4730,Vẽ kỹ thuật phương tiện thủy,2(2-1-0-4),2,3,0.7
,TE5628,Thủy khí động lực học,2(2-1-0-4),2,3,0.7
,TE5705,Thực tập kỹ sư (TT),3(0-0-6-12),3,7.5,0.5
,TE5701,Đồ án kỹ sư (TT),9(0-0-18-36),9,22.5,0.5
