,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,EM1170Q,Pháp luật đại cương,2(2-0-0-4),2,2,0.5
,EM1180Q,Văn hóa kinh doanh và tinh thần khởi nghiệp,2(2-1-0-4),2,3,0.5
,EM1420,Các hệ thống công nghiệp,2(1-0-2-4),3,4,0.7
,EM2105Q,Quản lý ngoại thương,2(2-1-0-4),2,3,0.5
,EM2220,Phương pháp và kỹ năng trình bày, ,2,3,0.7
,EM2221Q,Kỹ năng lãnh đạo,2(2-1-0-4),2,3,0.5
,EM2222Q,Kỹ năng đọc và viết báo cáo khoa học,3(2-2-0-6),3,4,0.5
,EM3100Q,Kinh tế học vi mô,3(3-1-0-6),3,4,0.6
,EM3100S,Kinh tế học vi mô, ,3,4,0.7
,EM3101Q,Các nguyên lý và vấn đề kinh tế,3(3-0-0-6),3,3,0.7
,ET5100E,Thực tập tốt nghiệp,3(0-0-8-16),3,7.5,0.5
,CH5013,Thực tập tốt nghiệp,4(0-0-8-16),4,10,0.5
,CH5113,Đồ án tốt nghiệp,10(0-0-20-40),10,25,0.5
,BF5280,Công nghệ thuỷ sản,3(3-0-1-6),3,4.5,0.7
,IT4261,An ninh mạng,2(2-0-0-4),2,2,0.7
,MI5060,Logic thuật toán,3(3-1-0-6),3,4,0.5
,CH5356,Thí nghiệm chuyên ngành 1,2(0-0-4-4),2,6,0.7
,BF5011,Tối ưu hoá quá trình và tổ chức sản xuất,2(2-1-0-4),2,3,0.7
,TE4577,Cơ học thủy khí chuyên sâu,3(2-1-1-4),3,4.5,0.7
,FLE2214,Professional skills 3 (BTL),4(3-1-0-6),4,4,0.5
