,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,ME3170,Công nghệ chế tạo máy,4(4-0-1-8),4,5.5,0.7
,ME3172,Công nghệ chế tạo máy I,4(4-2-0.5-8),4,7,0.7
,ME3177,Công nghệ chế tạo máy C,3(3-1-0.5-6),3,5,0.6
,ME3180,Đồ án công nghệ chế tạo máy,2(0-0-4-4),2,4,1
,ME3182,Công nghệ chế tạo máy E1,3(3-1-0.5-6),3,5,0.7
,ME3184,Đồ án máy thể tích,1(0-2-0-2),1,2,1
,ME3186,"Máy dập CNC, PLC",2(2-1-0-4),2,3,1
,ME3187,Đồ án môn học TKTT ôtô,1(0-2-0-2),1,2,1
,ME3188,Đồ án máy bay,1(0-2-0-2),1,2,1
,ME3190,Sức bền vật liệu,2(2-0-0-4),2,2,0.7
,ME3200,Kỹ thuật thủy khí,2(2-1-0.5-4),2,4,0.7
,ME3210,Nguyên lý máy,2(2-1-0-4),2,3,0.6
,ME3220,Chi tiết máy C,2(2-1-0-4),2,3,0.7
,ME3230,Dung sai và kỹ thuật đo,2(2-1-0-4),2,3,0.7
,ME3400,Kỹ thuật thủy khí C,2(2-1-0.5-4),2,4,0.7
,EE2040,Nhập môn thiết kế hệ thống điều khiển,3(3-1-0-6),3,4,0.7
,EE3000,Tín hiệu và hệ thống,3(3-1-0-6),3,4,0.7
,EE3010,Lý thuyết mạch điện I,4(3-2-0.5-6),4,6,0.7
,EE3013,Lý thuyết mạch điện,4(4-1-0-8),4,5,0.7
,EE3020,Lý thuyết mạch điện II,2(2-1-0.4-4),2,3.5,0.75
