,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,EE5013,Thực tập tốt nghiệp,4(0-0-8-16),4,10,0.5
,EE5014,Thực tập tốt nghiệp,4(0-0-8-16),4,10,0.5
,EE5015,Thực tập tốt nghiệp,4(0-0-8-16),4,10,0.5
,EE5021,Thực tập tốt nghiệp,3(0-0-6-12),3,7.5,0.5
,EE5032,Thực tập tốt nghiệp,4(0-0-8-16),4,10,0.5
,EE5042,Thực tập tốt nghiệp,4(0-0-8-16),4,10,0.5
,EE5052,Thực tập tốt nghiệp,4(0-0-8-16),4,10,0.5
,EE5111,Đồ án tốt nghiệp,10(0-0-20-40),10,25,0.5
,EE5112,Đồ án tốt nghiệp,10(0-0-20-40),10,25,0.5
,EE5113,Đồ án tốt nghiệp,10(0-0-20-40),10,25,0.5
,EE5114,Đồ án tốt nghiệp,10(0-0-20-40),10,25,0.5
,EE5115,Đồ án tốt nghiệp,10(0-0-20-40),10,25,0.5
,EE5121,Đồ án tốt nghiệp,10(0-0-20-40),10,25,0.5
,EE5132,Đồ án tốt nghiệp,10(0-0-20-40),10,25,0.5
,EE5142,Đồ án tốt nghiệp,10(0-0-20-40),10,25,0.5
,EE5152,Đồ án tốt nghiệp,10(0-0-20-40),10,25,0.5
,ET3061,Điện tử số,4(4-1-1-8),4,6.5,0.7
,ET3570,Thực tập nhận thức,1(0-0-3-0),1,2,1
,ET4210,Đồ án thiết kế II,2(1-1-1-4),2,4,1
,ET4220,Mạng thông tin,3(3-1-1-6),3,5.5,0.7
