,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,ME4175,Phương pháp số trong tính toán cấu trúc,3(2-1-0.5-6),3,4,0.7
,ME4902,Truyền động cơ khí công suất lớn,1(1-1-0-2),1,2,0.7
,TE4820,Kết cấu hàng không,2(2-1-0-4),2,3,0.7
,TE4830,Đàn hồi khí động học,2(2-1-0-4),2,3,0.7
,TE4840,Kỹ thuật điện-điện tử trên máy bay,2(2-1-0-4),2,3,0.7
,TE4850,Hệ thống thời gian thực,2(2-1-0-4),2,3,0.7
,TE4860,Lý thuyết cháy,1(1-0-0-2),1,1,0.7
,TE4870,Khí động lực học cơ bản,3(2-1-1-4),3,4.5,0.7
,TE4880,Động cơ và thiết bị đẩy I,3(3-1-0-6),3,4,0.7
,TE4890,Cơ học vật bay I,2(2-1-0-4),2,3,0.7
,TE4900,Máy thủy lực I,2(2-0-0-4),2,2,0.7
,TE4910,Máy thủy lực II,2(2-0-0-4),2,2,0.7
,TE4911,Thực tập chuyên ngành,4(0-0-4-0),4,8,0.7
,TE5810,Khí động lực học chuyên sâu,2(2-1-0-4),2,3,0.7
,TE5820,Động cơ và thiết bị đẩy II,3(3-0-0-6),3,3,0.7
,TE5830,Vật liệu hàng không,2(2-1-0-4),2,3,0.7
,TE5840,Truyền động tự động thủy khí,2(2-0-1-4),2,3.5,0.7
,TE5850,Phương pháp số trong cơ học chất lỏng,3(2-1-0-4),3,3,0.7
,TE5860,Cơ học vật bay II,2(2-1-0-4),2,3,0.7
,TE5870,Cơ sở thiết kế máy bay,3(3-0-1-6),3,4.5,0.7
