,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,CH4263,Thiết kế nhà máy hóa chất,2(2-1-0-4),2,3,0.7
,CH4265,Thí nghiệm chuyên ngành vô cơ-điện hóa,2(0-0-4-4),2,6,0.7
,CH4455,Công nghệ sản xuất bột giấy,2(2-1-0-4),2,3,0.7
,CH4457,Công nghệ sản xuất giấy,2(2-1-0-4),2,3,0.7
,CH4497,"Các quá trình cơ bản tổng hợp hữu cơ, hóa dược",3(3-1-0-6),3,4,0.7
,CH4499,Hóa sinh,2(2-1-0-4),2,3,0.7
,CH4501,Thí nghiệm chuyên ngành hóa dược I,2(0-0-4-4),2,6,0.7
,CH4659,Đồ án chuyên ngành QTTB-Máy hóa chất,2(0-0-4-4),2,4,0.7
,CH4723,Kỹ thuật gia công đóng sách,2(2-1-0-4),2,3,0.7
,CH4724,Kỹ thuật gia công bao bì,2(2-1-0-4),2,3,0.7
,CH4725,Thí nghiệm gia công,1(0-0-2-4),1,3,0.7
,CH4726,Đồ án tổ chức sản xuất sản phẩm in,3(0-0-6-6),3,6,0.7
,CH4729,Kỹ thuật đồ họa,2(1-2-0-4),2,3,0.7
,CH4730,Truyền thông đa phương tiện,2(2-1-0-4),2,3,0.7
,CH4731,Công nghệ web,2(2-1-0-4),2,3,0.7
,CH4732,Thực hành thiết kế web,1(0-0-2-2),1,3,0.7
,CH4733,Thực hành thiết kế sản phẩm in,2(0-0-2-2),2,6,0.7
,CH4734,Đồ án thiết kế sản phẩm truyền thông,3(0-0-6-6),3,6,0.7
,CH4739,Kỹ thuật chụp ảnh,2(1-2-0-4),2,3,0.7
,CH5465,Điện hóa ứng dụng,2(2-1-0-4),2,3,0.7
