,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,ET5380,Thiết kế vật lý vi mạch,3(3-1-0-6),3,4,0.7
,ET4613,Thiết kế vi mạch quản lý nguồn,2(2-1-0-6),2,3,0.7
,CH3413,Quá trình và Thiết bị công nghệ hoá học I - Polyme,2(2-1-0-4),2,3,0.7
,ET2004E,Nhập môn kỹ thuật điện tử-viễn thông,2(2-0-1-4),2,3.5,0.7
,ET3161E,Phân tích thiết kế hệ thống phần mềm,3(3-1-0-6),3,4,0.7
,ET3180E,Thông tin vô tuyến,3(3-0-1-6),3,4.5,0.7
,ET3241E,Mạch điện tử thông tin,2(2-0-1-4),2,3.5,0.7
,ET3251E,Thông tin số,3(3-0-1-6),3,4.5,0.7
,ET3301E,Kỹ thuật vi xử lý,3(3-0-1-6),3,4.5,0.7
,ET3312E,Mã hóa bảo mật và ứng dụng,3(3-1-0-6),3,4,0.7
,ET4071E,Cơ sở truyền số liệu,3(3-0-1-6),3,4.5,0.7
,ET4290E,Hệ điều hành,2(2-1-0-4),2,3,0.7
,ET4331E,Thông tin di động,3(3-1-0-6),3,4,0.7
,ET4542E,An ninh mạng,2(2-1-0-4),2,3,0.7
,ET4660E,Lập trình hệ thống,3(3-1-0-6),3,4,0.7
,ET4670E,Công nghệ và các giao thức IoT,3(3-1-0-6),3,4,0.7
,ET4712E,Lập trình ứng dụng,2(2-1-0-4),2,3,0.7
,MI3040,Giải tích số,4(4-1-0-8),4,5,0.5
,MI3044,Phân tính thống kê & phân tích dữ liệu,1(1-0-0-2),1,1,0.5
,MI3050,Các phương pháp tối ưu,4(4-1-0-8),4,5,0.5
