,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,PH5110,Đồ án tốt nghiệp,10(0-0-20-40),10,25,0.5
,PH5120,Đồ án tốt nghiệp,10(0-0-20-40),10,25,0.5
,PH5130,Đồ án tốt nghiệp,10(0-0-20-40),10,25,0.5
,PH5140,Đồ án tốt nghiệp,10(0-0-20-40),10,25,0.5
,CH4000,Động học xúc tác,3(3-1-0-6),3,4,0.75
,CH4001,Tổng hợp các hợp chất trung gian hóa dầu,2(2-1-0-4),2,3,0.75
,CH4002,Hóa học dầu mỏ,3(3-1-0-6),3,4,0.75
,CH4003,Hoá học xenluloza - giấy,2(2-1-0-4),2,3,0.75
,CH4004,Sản phẩm dầu mỏ,3(3-1-0-6),3,4,0.75
,CH4005,Phân tích hóa lý,2(2-1-0-4),2,3,0.75
,CH4006,Công nghệ chế biến dầu,4(4-1-0-8),4,5,0.75
,CH4007,Chuyên đề,2(2-1-0-4),2,3,0.75
,CH4008,Công nghệ chế biến khí,3(3-1-0-6),3,4,0.75
,CH4009,Hóa học và hóa lý polyme,2(2-1-0-4),2,3,0.75
,CH4010,Công nghệ tổng hợp hữu cơ hóa dầu,3(3-1-0-6),3,4,0.75
,CH4011,Đường ống bể chứa,2(2-1-0-4),2,3,0.75
,CH4012,Thiết bị tổng hợp hữu cơ hóa dầu,3(3-1-0-6),3,4,0.75
,CH4014,Thí nghiệm chuyên ngành hóa dầu 1,2(0-0-4-4),2,6,0.75
,CH4016,Thí nghiệm chuyên ngành 2,2(0-0-4-4),2,6,0.75
,CH4018,Hóa học và công nghệ chế biến than,2(2-1-0-4),2,3,0.75
