,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,TEX5840,Kỹ thuật mới trong công nghệ hoàn tất dệt may,2(2-0-0-4),2,2,0.7
,TEX5502,Ứng dựng thành tựu của cách mạng công nghiệp lần thứ tư trong ngành da giầy,2(2-0-0-4),2,2,0.7
,MI2023E,Xác suất thống kê,4(3-2-0-8),4,5,0.5
,EV4125,Xử lý chất thải bằng kỹ thuật nhiệt,2(2-1-0-4),2,3,0.7
,FL1157,Học tập cộng tác,2(2-1-0-4),2,3,0.5
,MS4306,Kiểm soát chất lượng sản phẩm polyme,3(3-0-0-6),3,3,0.7
,MS4307,Phân tích đặc trưng Polyme compozit,3(3-0-0-6),3,3,0.7
,MS4308,Thí nghiệm vật liệu polyme compozit,1(0-0-2-2),1,3,0.7
,MS4309,Đồ án chuyên ngành vật liệu compozit I,3(0-0-6-6),3,6,0.6
,MS4310,Công nghệ hoá học polyme blend,2(2-0-0-4),2,2,0.7
,MS4313,Vật liệu biocompozit,3(3-0-0-6),3,3,0.7
,MS4391,Thực tập kỹ thuật,2(0-0-4-4),2,4,0.6
,MS4392,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
,EE3816,Đồ án I,2(0-0-4-4),2,4,0.5
,ETxxxx,Đồ án tốt nghiệp (KSTN ĐTVT K55),12(0-0-24-48),12,30,0.5
,MS4407,An toàn lao động & môi trường ngành in,2(2-1-0-4),2,3,0.75
,MS3411,Kỹ thuật in flexo và in lõm,3(3-1-0-6),3,4,0.6
,MS2408,Mỹ học đại cương,2(2-1-0-4),2,3,0.7
,MS3412,Kỹ thuật chụp ảnh,2(2-1-0-4),2,3,0.7
,MS3413,Công nghệ in,3(3-1-0-6),3,4,0.7
