,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,ME4021,Phép tính ma trận trong cơ điện tử,2(2-1-0-4),2,3,0.7
,ME4022,Chế tạo phôi,2(2-0-1-4),2,3.5,0.6
,ME4023,Quang kỹ thuật,2(2-1-0-4),2,3,0.6
,ME4025,Lý thuyết dập tạo hình,2(2-1-0-4),2,3,0.7
,ME4026,Lưu biến của Polyme,2(2-0-0-4),2,2,0.7
,ME4030,Lý thuyết động cơ ô tô,3(3-1-0-6),3,4,0.7
,ME4031,Dao động kỹ thuật,2(2-1-0-4),2,3,0.7
,ME4032,Đồ gá,2(2-1-0-4),2,3,0.6
,ME4033,Tiếng Anh chuyên ngành,2(2-1-0-4),2,3,0.7
,ME4035,Thiết bị gia công áp lực,2(2-0-1-4),2,3.5,0.7
,ME4036,Độ bền của VLCD và composite,2(2-1-0-4),2,3,0.7
,ME4041,Lý thuyết đàn hồi,2(2-1-0-4),2,3,0.7
,ME4042,Robot công nghiệp,2(2-1-0-4),2,3,0.7
,ME4043,Quang điện tử ứng dụng,3(3-1-0-6),3,4,0.7
,ME4044,Công nghệ hàn điện áp lực,2(2-1-0.5-4),2,4,0.6
,ME4045,Máy búa và máy ép thuỷ lực,2(2-1-0-4),2,3,0.7
,ME4046,Vật liệu và công nghệ chế tạo SP cao su,2(2-1-0-4),2,3,0.7
,ME4050,Lý thuyết ô tô I,2(2-1-0-4),2,3,0.7
,ME4051,Động lực học hệ nhiều vật,2(2-1-0-4),2,3,0.7
,ME4053,KT chân không & Công nghệ bề mặt,2(2-1-0-4),2,3,0.7
