,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,BF3014,Quá trình và thiết bị cơ học,3(2-1-1-6),3,4.5,0.7
,BF3015,Quá trình và thiết bị chuyển khối,3(2-1-1-6),3,4.5,0.7
,BF3016,Quá trình và thiết bị truyền nhiệt,2(2-0-1-4),2,3.5,0.7
,BF3017,Đồ án I – Quá trình và thiết bị,1(0-0-2-2),1,2,0.7
,BF3018,Quản lý chất lượng trong công nghệ thực phẩm,2(2-0-0-4),2,2,0.7
,BF3019,Kỹ thuật đo lường và lý thuyết điều khiển tự động,3(3-0-1-6),3,4.5,0.7
,BF3022,Kỹ thuật xử lý chất thải trong công nghiệp thực phẩm,2(1-2-0-4),2,3,0.7
,BF3032,Dinh dưỡng và an toàn thực phẩm,3(2-2-0-4),3,4,0.7
,BF3111,Vi sinh vật,3(3-0-0-6),3,3,0.7
,BF3112,TN Vi sinh vật,2(0-0-4-4),2,6,0.7
,BF3113,Sinh học tế bào và miễn dịch,4(3-1-1-8),4,5.5,0.7
,BF3114,Sinh thái học môi trường,3(3-0-0-6),3,3,0.7
,BF3115,Di truyền học và sinh học phân tử,3(2-2-0-6),3,4,0.7
,BF3116,Kỹ thuật gen,3(2-1-1-6),3,4.5,0.7
,BF3117,Phương pháp phân tích trong CNSH,2(2-0-1-4),2,3.5,0.7
,BF3121,Quá trình và thiết bị CNSH,2(2-0-0-4),2,2,0.7
,BF4291,Kỹ thuật thực phẩm,3(3-0-0-6),3,3,0.7
,BF4310,Công nghệ thực phẩm đại cương,3(3-0-0-6),3,3,0.7
,BF4313,Phân tích thành phần lý hóa thực phẩm,2(1-0-2-4),2,4,0.7
,CH2010,Cơ sở hóa học vật liệu,3(2-1-1-6),3,4.5,0.5
