,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,EE4051,"TN Hệ thống điện I (CA I, Lưới điện)",1(0-0-2-2),1,3,1
,EE4060,Đồ án III (HTĐ),2(0-0-4-4),2,4,1
,EE4070,Điều khiển thiết bị điện,3(3-0-1-6),3,4.5,0.7
,EE4090,Khí cụ điện cao áp,3(3-0-1-6),3,4.5,0.7
,EE4220,Điều khiển logic và PLC,3(3-0-1-6),3,4.5,0.7
,EE4230,Lý thuyết điều khiển II,3(3-1-0-6),3,4,0.7
,EE4240,Trang bị điện-điện tử các máy công nghiệp,3(3-1-0-6),3,4,0.7
,EE4250,Xử lý tín hiệu,3(3-1-0-6),3,4.5,0.7
,EE4251,Thiết kế hệ thống nhúng,3(3-1-0-6),3,4,0.5
,EE4253,Cơ sở dữ liệu,2(2-1-0-4),2,3,0.7
,EE4260,Thiết kế thiết bị đo,2(2-1-0-4),2,3,0.7
,EE4401,Thiết kế hệ điều khiển nhúng,3(2-2-0-6),3,4,0.5
,EE4910,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
,EE4082,Kỹ thuật chiếu sáng,3(3-1-0-6),3,4,0.5
,EE4379,Tự động hóa và dụng cụ đo trong xử lý môi trường,2(2-1-0-4),2,3,0.7
,EM4350,Thực tập tốt nghiệp,2(0-0-4-4),2,5,0.5
,EM4351,Khóa luận tốt nghiệp,6(0-0-12-12),6,15,0.5
,EM4442,Quản lý dự trữ,2(2-0-0-4),2,2,0.6
,EM4450,Thực tập tốt nghiệp,2(0-0-4-4),2,5,0.5
,EM4451,Khóa luận tốt nghiệp,6(0-0-12-12),6,15,0.5
