,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,ME4138,Công nghệ hàn vật liệu kim loại,3(3-0-1-6),3,4.5,0.7
,ME4148,Máy CNC và Rôbốt công nghiệp,3(3-0-1-6),3,4.5,0.7
,ME4149,Đảm bảo chất lượng sản phẩm,2(2-1-0-4),2,3,0.7
,ME4168,Thiết kế máy công cụ,3(3-0-1-6),3,4.5,0.7
,ME4178,Hệ thống đo lường Quang điện tử,2(2-0-1-4),2,3.5,0.7
,ME4179,Xử lý tín hiệu đo lường cơ khí,2(2-0-1-4),2,3.5,0.7
,ME4187,Công nghệ CNC,3(3-0-1-6),3,4.5,0.7
,ME4188,Công nghệ tạo hình tiên tiến,3(3-0-1-6),3,4.5,0.7
,ME4955,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
,MI2030,Technical Writing and Presentation,3(2-2-0-6),3,4,0.5
,MI4024,Phân tích số liệu,2(2-1-0-4),2,3,0.5
,MI4034,Mô hình toán kinh tế,2(2-1-0-4),2,3,0.5
,MI4084,Phương pháp sai phân và phần tử hữu hạn,3(3-1-0-6),3,4,0.5
,MI4114,Mô phỏng ngẫu nhiên và ứng dụng,2(2-1-0-4),2,3,0.5
,MI4162,Lập trình tính toán,2(2-0-1-4),2,3.5,0.5
,MI4214,Kho dữ liệu và kinh doanh thông minh,2(2-1-0-4),2,3,0.5
,MI4216,Hệ hỗ trợ quyết định,2(2-1-0-4),2,3,0.5
,MI4304,Hệ thống phân tán,2(2-1-0-4),2,3,0.5
,MI4314,Tối ưu tổ hợp,2(2-1-0-4),2,3,0.5
,MI4364,Tính toán song song,2(2-1-0-4),2,3,0.5
