,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,FLE4104,Introduction to English language teaching (BTL),4(3-1-0-8),4,4,0.6
,FLE4205,Work placement,4(0-0-8-16),4,10,1
,FLE4206,Graduation paper in English,8(0-0-16-32),8,20,0.5
,HE4403,Tin học ứng dụng Máy & Thiết bị nhiệt - lạnh(CFD),2(2-1-0-4),2,3,0.7
,IT3402E,Web Information System,2(2-0-0-4),2,2,0.7
,IT3541,Kỹ thuật lập trình,3(3-1-0-6),3,4,0.7
,IT4042E,Artificial Intelligence,2(2-0-0-4),2,2,0.7
,IT4099,Xử lý ảnh,3(3-0-0-6),3,3,0.7
,IT4442E,Human Interface,2(2-0-0-4),2,2,0.7
,IT4612E,Distributed System,2(2-0-0-4),2,2,0.6
,IT4621,Xử lý dữ liệu đa phương tiện,3(3-1-0-6),3,4,0.7
,IT4682E,Multimedia Communication,2(2-0-0-4),2,2,0.7
,IT4759,Tìm kiếm cục bộ dựa trên ràng buộc,3(3-1-0-6),3,4,0.7
,IT4769,Tối ưu hoá tổ hợp,3(3-1-0-6),3,4,0.7
,IT4875,Xử lý ngôn ngữ tự nhiên,2(2-1-0-4),2,3,0.7
,IT4888,Văn phong Kỹ thuật,3(3-1-0-6),3,4,0.7
,IT5021E,Graduation Research 1,3(0-0-6-6),3,7.5,0.7
,ME4027,VL& Công nghệ chế tạo sản phẩm cao su,2(2-0-0-4),2,2,0.7
,ME4233,CAD/CAM/CNC II,2(2-0-1-4),2,3.5,0.7
,ME4236,Thiết kế hệ thống Vi cơ điện tử,2(2-1-0-4),2,3,0.7
