,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,IT3382,Kỹ năng ITSS học bằng tiếng Nhật 2,2(0-4-0-4),2,4,0.5
,EE1002,Nhập môn công nghệ kỹ thuật điện,2(2-0-1-4),2,3.5,0.7
,EE3511,Truyền động điện,3(3-0-1-6),3,4.5,0.7
,EE3111,Kỹ thuật đo lường,2(2-0-1-4),2,3.5,0.7
,EE3412,Điện tử công suất,3(3-0-1-6),3,4.5,0.7
,EE3081,Máy điện II,3(3-1-0-6),3,4,0.7
,EE3050,Vật liệu kỹ thuật điện,3(3-1-0-6),3,4,0.7
,EE3171,Thí nghiệm HTĐ I,1(0-0-2-2),1,3,1
,EE3070,Điều khiển máy điện,3(3-0-1-6),3,4.5,0.5
,EE3082,Chiếu sáng dân dụng & công nghiệp,3(3-1-0-6),3,4,0.7
,EE3060,Thiết bị đóng cắt cao áp,3(3-0-1-6),3,4.5,0.7
,EE3061,Máy điện III,3(3-1-0-6),3,4,0.7
,EE3267,Công nghệ chế tạo máy điện,3(3-1-0-6),3,4,0.7
,EE3170,Lưới điện I,4(4-1-0-8),4,5,0.7
,EE3172,Ngắn mạch trong HTĐ,3(3-1-0-6),3,4,0.7
,EE3174,Bảo vệ và điều khiển HTĐ I,3(3-1-0-6),3,4,0.7
,EE3175,Thí nghiệm HTĐ III (BV & ĐK),1(0-0-2-2),1,3,1
,EE3176,Phần điện Nhà máy điện và Trạm biến áp,3(3-1-0-6),3,4,0.7
,EE3177,Thí nghiệm HTĐ IV (NMĐ & TBA),1(0-0-2-2),1,3,1
,EE3830,Đồ án III,2(0-0-4-4),2,4,1
