,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,ME2023,Đồ họa kỹ thuật,2(2-0-1-4),2,3.5,0.6
,ME2140,Cơ học kỹ thuật I,3(2-2-0-6),3,4,0.7
,ME2141,Cơ học kỹ thuật B,4(4-2-0-8),4,6,0.7
,ME3010,Cơ học kỹ thuật II,3(2-2-0-6),3,4,0.7
,ME3020,Vẽ kỹ thuật II,2(2-1-0-4),2,3,0.7
,ME3030,Vẽ kỹ thuật III,2(2-1-0-4),2,3,0.7
,ME3040,Sức bền vật liệu I,2(2-0-1-4),2,3.5,0.6
,ME3060,Nguyên lý máy,3(3-0-1-6),3,4.5,0.6
,ME3070,Kỹ thuật đo,3(3-0-1-6),3,4.5,0.7
,ME3080,Kỹ thuật thủy khí,3(3-1-0.5-6),3,5,0.7
,ME3087,Kỹ thuật thủy khí A,4(3-2-0.5-8),4,6,0.7
,ME3090,Chi tiết máy,3(3-0-1-6),3,4.5,0.6
,ME3110,Vật liệu chất dẻo và composite,2(2-0-1-4),2,3.5,0.7
,ME3117,Vật liệu hàng không,2(2-1-0-4),2,3,0.7
,ME3120,Kỹ thuật điều khiển tự động,3(3-0-1-6),3,4.5,0.7
,ME3130,Đồ án chi tiết máy,2(0-0-4-4),2,4,1
,ME3140,Kỹ thuật an toàn và môi trường,2(2-1-0-4),2,3,0.7
,ME3150,Thực tập cơ khí,2(0-0-4-4),2,4,0.7
,ME3160,Thực tập kỹ thuật,2(0-0-8-4),2,4,1
,ME3167,Thực tập kỹ thuật ôtô,2.5(5-5-20-10),2.5,5,0.7
