,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,NE4304,Thủy nhiệt hạt nhân,3(2-2-0-6),3,4,0.7
,NE4305,Cơ sở ứng dụng bức xạ,2(2-0-0-4),2,2,0.7
,NE4306,Kiểm tra không phá mẫu NDT,3(2-1-1-6),3,4.5,0.7
,NE4301,Cơ sở vật lý môi trường,2(2-0-0-4),2,2,0.7
,NE4402,Sinh học bức xạ,2(2-0-0-4),2,2,0.7
,NE4403,Vật lý hình ảnh y học,2(2-0-0-4),2,2,0.7
,NE4405,Xạ trị ung thư đại cương,3(2-0-2-6),3,2,0.7
,EM1060,Luật,2(2-0-0-4),2,2,0.6
,NE4404,Điện quang y tế đại cương,3(2-0-2-6),3,2,0.7
,NE4406,Y học hạt nhân đại cương,3(3-0-0-6),3,3,0.7
,NE3053,Thực tập kỹ thuật,2(0-0-4-4),2,4,0.7
,EE4342,Hệ thống điều khiển thông minh,3(3-1-0-6),3,4,0.7
,EE4348,Kiến trúc và giao thức truyền thông trong IoT,3(2-2-0-6),3,4,0.7
,EE4346,Thị giác máy tính,2(2-1-0-4),2,3,0.7
,EE2130E,Thiết kế hệ thống số,3(3-0-1-6),3,4.5,0.7
,EE3288E,Lý thuyết điều khiển tuyến tính,3(3-1-0-6),3,4,0.5
,EE3423E,Nhập môn hệ thống điện,3(3-1-0-6),3,4,0.7
,EE3480E,Vi xử lý và kiến trúc máy tính,3(3-0-1-6),3,4.5,0.7
,FL3283,Văn học Anh - Mỹ,2(2-1-0-4),2,3,0.6
,MSE3171,Hóa lý polyme cơ sở,2(2-1-0-4),2,3,0.7
