,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,MSE3179,Hóa học polyme cơ sở,2(2-1-0-4),2,3,0.7
,MSE3181,Tính chất điện tử của vật liệu,2(2-1-0-4),2,3,0.7
,MSE3182,Vật liệu điện tử và linh kiện,2(2-1-0-4),2,3,0.7
,MSE3183,Vật liệu hữu cơ và sinh học,2(2-1-0-4),2,3,0.7
,MSE3184,Vật liệu cho năng lượng,2(2-1-0-4),2,3,0.7
,MSE3185,Nhập môn công nghệ chế tạo bán dẫn,2(2-1-0-4),2,3,0.7
,MSE3186,Các phương pháp khảo sát vật liệu và linh kiện bán dẫn,2(2-1-0-4),2,3,0.7
,MSE3187,Thực tập chế tạo và khảo sát vật liệu và linh kiện bán dẫn,2(2-1-0-4),2,4,0.7
,MSE4101,Luyện thép,3(3-0-0-6),3,3,0.7
,MSE4111,Luyện gang lò cao,3(2-1-1-6),3,4.5,0.7
,TE4060E,Các nguồn động lực trên ô tô hiện đại,3(3-1-0-6),3,4,0.6
,MSE3122,Vật liệu nano,3(2-2-0-4),3,4,0.7
,EE2017,Kỹ thuật điện-điện tử,3(2-1-1-6),3,4.5,0.7
,CH1019E,Hóa học đại cương,3(2-2-0-6),3,4,0.5
,TE1200E,Nhập môn kỹ thuật Ô tô,2(1-0-2-4),2,4,0.7
,TE2265E,Động học máy,3(3-0-1-6),3,4.5,0.7
,MSE2468,Vật liệu kim loại và phi kim,3(2-1-1-6),3,4.5,0.7
,TE3235E,Dao động kỹ thuật,2(2-1-0-4),2,3,0.7
,ME4323E,Gia công vật liệu,3(2-1-1-6),3,4.5,0.7
,TE3260E,Thiết kế điện tử,3(3-1-0-6),3,4,0.7
