,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,MSE3150,Lý thuyết quá trình kết tinh và đông đặc,2(2-1-0.5-4),2,4,0.8
,MSE3160,Lý thuyết biến dạng dẻo,3(2-2-0-6),3,4,0.75
,MSE3170,Lý thuyết quá trình nhiệt luyện,2(2-1-0.5-4),2,4,0.8
,MSE3180,Các phương pháp số I,2(2-1-0-4),2,3,0.8
,MSE3017,Vật liệu Ceramic,3(3-0-1-6),3,4.5,0.7
,MSE3190,Các phương pháp số II,2(2-1-0-4),2,3,0.75
,MSE3210,Vật liệu kim loại,2(2-0-1-4),2,3.5,0.8
,MSE3220,Vật liệu học đại cương,2(2-1-0.5-4),2,4,0.8
,MSE4010,"Nguyên, nhiên liệu luyện kim",2(2-0-0.5-4),2,3,0.75
,MSE4020,Công nghệ luyện gang,3(3-0-0.5-6),3,4,0.75
,MSE4030,Công nghệ luyện thép,3(3-1-0.5-6),3,5,0.75
,MSE4040,Đồ án môn học công nghệ gang thép,1(1-0-0-8),1,2,0.75
,MSE4060,Công nghệ luyện fero,2(2-0-0-4),2,2,0.75
,MSE4070,Công nghệ đúc phôi thép,2(2-0-0.5-4),2,3,0.75
,MSE4080,Kỹ thuật mới trong công nghệ gang thép,2(2-0-0-4),2,2,0.75
,MSE4090,Luyện thép hợp kim và thép đặc biệt,2(2-1-0.5-4),2,4,0.75
,MSE4130,Kỹ thuật luyện thép lò thổi,2(2-0-0.5-4),2,3,0.75
,MSE4140,Kỹ thuật luyện thép lò điện,2(2-0-0.5-4),2,3,0.75
,MSE4150,Kỹ thuật tái chế kim loại,2(2-0-0.5-4),2,3,0.75
,MSE4160,Tin học chuyên ngành gang thép,2(2-0.5-0-4),2,2.5,0.75
