,Mã học phần	,Tên học phần	,Thời lượng	,Số tín chỉ	,TC học phí	,Trọng số	
,MIL1230Q,Quân sự chung,0(1-0-1-4),0,2,0.6
,MI4153,CĐ7: Bảo mật dữ liệu và độ phức tạp thuật toán,3(3-1-0-6),3,4,0.7
,MI4293,CĐ8: Các phép biến đổi tích phân,2(2-1-0-4),2,3,0.7
,ET5320,Thiết kế vi mạch hỗn hợp,3(3-1-0-6),3,4,0.6
,MI4233,CĐ9: Điều khiển tối ưu,2(2-1-0-4),2,3,0.7
,CH3442,Đồ án quá trình và thiết bị,2(0-0-4-4),2,4,0.7
,CH3911,Thí nghiệm chuyên ngành công nghệ KTHH,3(0-0-6-6),3,9,0.7
,FLE2108,Language Communication Skills 3,4(2-2-0-8),4,4,0.6
,FLE2109,Dealing with Texts 3,3(2-1-0-4),3,3,0.6
,FLE2110,Professional skills 2,4(2-2-0-6),4,4,0.5
,FLE2111,International Studies 1,3(2-1-0-4),3,3,0.5
,IT3260,Lý thuyết mạch logic,2(2-0-0-4),2,2,0.7
,IT3270,Thực hành mạch logic,2(0-0-4-4),2,6,0.7
,FL0350,TOEIC 350,3(2-2-0-6),0,0,1
,QT1528,Tiếng Đức 6,6(4-4-0-12),0,8,0.7
,CH4047,Sản phẩm dầu mỏ và phụ gia,2(2-1-0-4),2,3,0.7
,CH4102,Công nghệ cao su và compozit,2(2-0-1-4),2,3,0.7
,CH4131,Công nghệ điện hóa,3(3-1-0-6),3,4,0.7
,EM4716Q,Kế toán quản trị,2(2-1-0-4),2,3,0.5
,ME3100,Thực tập công nhân,4(0-0-8-8),4,8,1
